Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Lactobacillus_mulieris__UMB0007B__GCA_026184155.1,Lactobacillus_mulieris__UMB7783B__GCA_030228195.1
group_487,,hypothetical protein,2,2,1.0,55,1,,,,441,441,441.0,OCAFGGHM_01455,GPENAHNM_00454
group_486,,hypothetical protein,2,2,1.0,54,12,,,,183,183,183.0,OCAFGGHM_01410,GPENAHNM_01286
group_485,,hypothetical protein,2,2,1.0,54,11,,,,279,279,279.0,OCAFGGHM_01412,GPENAHNM_01284
clpE_2,clpE_2,ATP-dependent Clp protease ATP-binding subunit ClpE,2,2,1.0,54,10,,,,2184,2184,2184.0,OCAFGGHM_01411,GPENAHNM_01285
ptsI,ptsI,Phosphoenolpyruvate-protein phosphotransferase,2,2,1.0,54,9,,,,1737,1737,1737.0,OCAFGGHM_01408,GPENAHNM_01288
group_484,,hypothetical protein,2,2,1.0,54,8,,,,768,864,816.0,OCAFGGHM_01405,GPENAHNM_01291
mecA,mecA,Adapter protein MecA 1,2,2,1.0,54,7,,,,681,681,681.0,OCAFGGHM_01406,GPENAHNM_01290
spx,spx,Global transcriptional regulator Spx,2,2,1.0,54,6,,,,399,399,399.0,OCAFGGHM_01407,GPENAHNM_01289
galE_2,galE_2,UDP-glucose 4-epimerase,2,2,1.0,54,5,,,,996,996,996.0,OCAFGGHM_01415,GPENAHNM_01281
ptsH,ptsH,Phosphocarrier protein HPr,2,2,1.0,54,4,,,,267,267,267.0,OCAFGGHM_01409,GPENAHNM_01287
galK_2,galK_2,Galactokinase,2,2,1.0,54,3,,,,1167,1167,1167.0,OCAFGGHM_01416,GPENAHNM_01280
galT,galT,Galactose-1-phosphate uridylyltransferase,2,2,1.0,54,2,,,,1461,1461,1461.0,OCAFGGHM_01414,GPENAHNM_01282
galM,galM,Aldose 1-epimerase,2,2,1.0,54,1,,,,1011,1011,1011.0,OCAFGGHM_01413,GPENAHNM_01283
metN,metN,Methionine import ATP-binding protein MetN,2,2,1.0,53,13,,,,1059,1059,1059.0,OCAFGGHM_01398,GPENAHNM_01030
csbB,csbB,Putative glycosyltransferase CsbB,2,2,1.0,53,12,,,,930,930,930.0,OCAFGGHM_01392,GPENAHNM_01036
group_483,,hypothetical protein,2,2,1.0,53,11,,,,588,600,594.0,OCAFGGHM_01395,GPENAHNM_01033
group_482,,hypothetical protein,2,2,1.0,53,10,,,,147,147,147.0,OCAFGGHM_01393,GPENAHNM_01035
mscL,mscL,Large-conductance mechanosensitive channel,2,2,1.0,53,9,,,,366,366,366.0,OCAFGGHM_01396,GPENAHNM_01032
group_481,,NADH:fumarate oxidoreductase,2,2,1.0,53,8,,,,1392,1392,1392.0,OCAFGGHM_01401,GPENAHNM_01027
dacA_3~~~dacA_2,dacA_3;dacA_2,D-alanyl-D-alanine carboxypeptidase DacA,2,2,1.0,53,7,,,,1098,1188,1143.0,OCAFGGHM_01404,GPENAHNM_01024
fumC,fumC,Fumarate hydratase class II,2,2,1.0,53,6,,,,1404,1404,1404.0,OCAFGGHM_01400,GPENAHNM_01028
yflS_3,yflS_3,Putative malate transporter YflS,2,2,1.0,53,5,,,,1455,1455,1455.0,OCAFGGHM_01403,GPENAHNM_01025
metP,metP,Methionine import system permease protein MetP,2,2,1.0,53,4,,,,702,702,702.0,OCAFGGHM_01399,GPENAHNM_01029
group_480,,hypothetical protein,2,2,1.0,53,3,,,,864,864,864.0,OCAFGGHM_01394,GPENAHNM_01034
yflS_2,yflS_2,Putative malate transporter YflS,2,2,1.0,53,2,,,,1422,1422,1422.0,OCAFGGHM_01402,GPENAHNM_01026
metQ,metQ,putative D-methionine-binding lipoprotein MetQ,2,2,1.0,53,1,,,,852,852,852.0,OCAFGGHM_01397,GPENAHNM_01031
rpoY,rpoY,DNA-directed RNA polymerase subunit epsilon,2,2,1.0,52,26,,,,225,225,225.0,OCAFGGHM_01386,GPENAHNM_00021
group_479,,hypothetical protein,2,2,1.0,52,25,,,,642,642,642.0,OCAFGGHM_01389,GPENAHNM_00024
coaD,coaD,Phosphopantetheine adenylyltransferase,2,2,1.0,52,24,,,,498,498,498.0,OCAFGGHM_01380,GPENAHNM_00015
rnj1,rnj1,Ribonuclease J 1,2,2,1.0,52,23,,,,1683,1683,1683.0,OCAFGGHM_01387,GPENAHNM_00022
pnbA_1,;pnbA_1,hypothetical protein;4-nitrobenzoate reductase,2,2,1.0,52,22,,,,162,648,405.0,OCAFGGHM_01431,GPENAHNM_00001
comEA,comEA,ComE operon protein 1,2,2,1.0,52,21,,,,651,651,651.0,OCAFGGHM_01378,GPENAHNM_00013
recD2,recD2,ATP-dependent RecD2 DNA helicase,2,2,1.0,52,20,,,,2355,2355,2355.0,OCAFGGHM_01388,GPENAHNM_00023
clpX,clpX,ATP-dependent Clp protease ATP-binding subunit ClpX,2,2,1.0,52,19,,,,1284,1284,1284.0,OCAFGGHM_01434,GPENAHNM_00004
comEC,;comEC,hypothetical protein;ComE operon protein 3,2,3,1.5,52,18,,,,633,2253,1500.0,OCAFGGHM_01442;OCAFGGHM_01377,GPENAHNM_00012
pspA_2,pspA_2,Phosphoserine phosphatase 1,2,2,1.0,52,17,,,,660,660,660.0,OCAFGGHM_01390,GPENAHNM_00025
rnj2,rnj2,Ribonuclease J 2,2,2,1.0,52,16,,,,1740,1740,1740.0,OCAFGGHM_01438,GPENAHNM_00008
ylbL,ylbL,putative protein YlbL,2,2,1.0,52,15,,,,1032,1032,1032.0,OCAFGGHM_01379,GPENAHNM_00014
engB,engB,putative GTP-binding protein EngB,2,2,1.0,52,14,,,,591,591,591.0,OCAFGGHM_01433,GPENAHNM_00003
tuf,tuf,Elongation factor Tu,2,2,1.0,52,13,,,,1191,1191,1191.0,OCAFGGHM_01436,GPENAHNM_00006
rpsT,rpsT,Small ribosomal subunit protein bS20,2,2,1.0,52,12,,,,252,252,252.0,OCAFGGHM_01440,GPENAHNM_00010
ftsW,ftsW,putative peptidoglycan glycosyltransferase FtsW,2,2,1.0,52,11,,,,1194,1194,1194.0,OCAFGGHM_01383,GPENAHNM_00018
tig,tig,Trigger factor,2,2,1.0,52,10,,,,1314,1314,1314.0,OCAFGGHM_01435,GPENAHNM_00005
bipA,bipA,Large ribosomal subunit assembly factor BipA,2,2,1.0,52,9,,,,1845,1845,1845.0,OCAFGGHM_01384,GPENAHNM_00019
oxyR_2~~~oxyR,oxyR_2;oxyR,DNA-binding transcriptional dual regulator OxyR,2,2,1.0,52,8,,,,888,888,888.0,OCAFGGHM_01391,GPENAHNM_00026
group_478,,hypothetical protein,2,2,1.0,52,7,,,,333,333,333.0,OCAFGGHM_01382,GPENAHNM_00017
rpsO,rpsO,Small ribosomal subunit protein uS15,2,2,1.0,52,6,,,,270,270,270.0,OCAFGGHM_01439,GPENAHNM_00009
group_477,,hypothetical protein,2,2,1.0,52,5,,,,834,834,834.0,OCAFGGHM_01437,GPENAHNM_00007
group_476,,hypothetical protein,2,2,1.0,52,4,,,,141,141,141.0,OCAFGGHM_01432,GPENAHNM_00002
rsmD,rsmD,Ribosomal RNA small subunit methyltransferase D,2,2,1.0,52,3,,,,552,552,552.0,OCAFGGHM_01381,GPENAHNM_00016
holA,holA,DNA polymerase III subunit delta,2,2,1.0,52,2,,,,987,987,987.0,OCAFGGHM_01441,GPENAHNM_00011
def2,def2,Peptide deformylase 2,2,2,1.0,52,1,,,,555,555,555.0,OCAFGGHM_01385,GPENAHNM_00020
group_475,,hypothetical protein,2,2,1.0,51,14,,,,852,924,888.0,OCAFGGHM_01364,GPENAHNM_00845
murK,murK,N-acetylmuramic acid/N-acetylglucosamine kinase,2,2,1.0,51,13,,,,900,900,900.0,OCAFGGHM_01365,GPENAHNM_00844
group_474,,hypothetical protein,2,2,1.0,51,12,,,,531,531,531.0,OCAFGGHM_01375,GPENAHNM_00834
group_473,,hypothetical protein,2,2,1.0,51,11,,,,225,1290,757.5,OCAFGGHM_01363,GPENAHNM_00846
group_472,,hypothetical protein,2,2,1.0,51,10,,,,852,852,852.0,OCAFGGHM_01372,GPENAHNM_00837
group_471,,hypothetical protein,2,2,1.0,51,9,,,,549,549,549.0,OCAFGGHM_01367,GPENAHNM_00842
group_470,,hypothetical protein,2,2,1.0,51,8,,,,498,498,498.0,OCAFGGHM_01371,GPENAHNM_00838
group_469,,hypothetical protein,2,2,1.0,51,7,,,,795,795,795.0,OCAFGGHM_01373,GPENAHNM_00836
group_468,,hypothetical protein,2,2,1.0,51,6,,,,981,981,981.0,OCAFGGHM_01369,GPENAHNM_00840
serS,serS,Serine--tRNA ligase,2,2,1.0,51,5,,,,1308,1308,1308.0,OCAFGGHM_01376,GPENAHNM_00833
gabD1,gabD1,Succinate-semialdehyde dehydrogenase [NADP(+)] 1,2,2,1.0,51,4,,,,1383,1383,1383.0,OCAFGGHM_01370,GPENAHNM_00839
group_467,,hypothetical protein,2,2,1.0,51,3,,,,3126,3126,3126.0,OCAFGGHM_01368,GPENAHNM_00841
group_466,,hypothetical protein,2,2,1.0,51,2,,,,606,606,606.0,OCAFGGHM_01374,GPENAHNM_00835
group_465,,hypothetical protein,2,2,1.0,51,1,,,,921,921,921.0,OCAFGGHM_01366,GPENAHNM_00843
trpS2,trpS2,Tryptophan--tRNA ligase 2,2,2,1.0,50,14,,,,1023,1023,1023.0,OCAFGGHM_01351,GPENAHNM_01534
dinB_2,dinB_2,DNA polymerase IV,2,2,1.0,50,13,,,,1272,1311,1291.5,OCAFGGHM_01347,GPENAHNM_01538
rnmV,rnmV,Ribonuclease M5,2,2,1.0,50,12,,,,564,564,564.0,OCAFGGHM_01357,GPENAHNM_01528
glmU,glmU,Bifunctional protein GlmU,2,2,1.0,50,11,,,,1386,1386,1386.0,OCAFGGHM_01361,GPENAHNM_01524
mgtB,mgtB,Magnesium-transporting ATPase P-type 1,2,2,1.0,50,10,,,,2685,2685,2685.0,OCAFGGHM_01354,GPENAHNM_01531
purR_1,purR_1,Purine biosynthesis transcriptional repressor PurR,2,2,1.0,50,9,,,,828,828,828.0,OCAFGGHM_01360,GPENAHNM_01525
group_464,,hypothetical protein,2,2,1.0,50,8,,,,357,357,357.0,OCAFGGHM_01348,GPENAHNM_01537
veg,veg,Protein Veg,2,2,1.0,50,7,,,,234,234,234.0,OCAFGGHM_01359,GPENAHNM_01526
dtd3,dtd3,D-aminoacyl-tRNA deacylase,2,2,1.0,50,6,,,,771,771,771.0,OCAFGGHM_01356,GPENAHNM_01529
tadA_3,tadA_3,tRNA-specific adenosine deaminase,2,2,1.0,50,5,,,,483,483,483.0,OCAFGGHM_01352,GPENAHNM_01533
group_463,,hypothetical protein,2,2,1.0,50,4,,,,537,537,537.0,OCAFGGHM_01353,GPENAHNM_01532
metG,metG,Methionine--tRNA ligase,2,2,1.0,50,3,,,,1986,1989,1987.5,OCAFGGHM_01355,GPENAHNM_01530
rsmA,rsmA,Ribosomal RNA small subunit methyltransferase A,2,2,1.0,50,2,,,,882,882,882.0,OCAFGGHM_01358,GPENAHNM_01527
group_462,,hypothetical protein,2,2,1.0,50,1,,,,663,672,667.5,OCAFGGHM_01349,GPENAHNM_01536
rluD_2~~~rluD_1,rluD_2;rluD_1,Ribosomal large subunit pseudouridine synthase D,2,2,1.0,49,10,,,,864,864,864.0,OCAFGGHM_01336,GPENAHNM_00694
def,def;,Peptide deformylase;hypothetical protein,2,2,1.0,49,9,,,,300,411,355.5,OCAFGGHM_01345,GPENAHNM_00702
ppsA,ppsA,Phosphoenolpyruvate synthase,2,2,1.0,49,8,,,,2385,2385,2385.0,OCAFGGHM_01346,GPENAHNM_00703
argS,argS,Arginine--tRNA ligase,2,2,1.0,49,7,,,,1677,1677,1677.0,OCAFGGHM_01338,GPENAHNM_00696
fba,fba,Fructose-bisphosphate aldolase,2,2,1.0,49,5,,,,912,912,912.0,OCAFGGHM_01337,GPENAHNM_00695
dacA_2,dacA_2,D-alanyl-D-alanine carboxypeptidase DacA,2,2,1.0,49,4,,,,1269,1269,1269.0,OCAFGGHM_01340,GPENAHNM_00697
nnrD,nnrD,ADP-dependent (S)-NAD(P)H-hydrate dehydratase,2,2,1.0,49,3,,,,846,846,846.0,OCAFGGHM_01341,GPENAHNM_00698
group_459,,hypothetical protein,2,2,1.0,49,2,,,,645,645,645.0,OCAFGGHM_01343,GPENAHNM_00700
smc_6,smc_6,Chromosome partition protein Smc,2,2,1.0,48,7,,,,3570,3570,3570.0,OCAFGGHM_01328,GPENAHNM_01102
rnc,rnc,Ribonuclease 3,2,2,1.0,48,6,,,,693,693,693.0,OCAFGGHM_01327,GPENAHNM_01103
oppA_2~~~oppA,oppA_2;oppA,Oligopeptide-binding protein OppA,2,2,1.0,48,5,,,,1761,1773,1767.0,OCAFGGHM_01326,GPENAHNM_01104
ftsY,ftsY,Signal recognition particle receptor FtsY,2,2,1.0,48,4,,,,1305,1305,1305.0,OCAFGGHM_01329,GPENAHNM_01101
pepDA_3,pepDA_3,Dipeptidase A,2,2,1.0,48,1,,,,1425,1425,1425.0,OCAFGGHM_01330,GPENAHNM_01100
licC_2,licC_2,Lichenan permease IIC component,2,2,1.0,47,12,,,,1284,1284,1284.0,OCAFGGHM_01315,GPENAHNM_01246
pyrAA,pyrAA,Carbamoyl phosphate synthase pyrimidine-specific small chain,2,2,1.0,47,11,,,,1059,1059,1059.0,OCAFGGHM_01321,GPENAHNM_01239
lspA,lspA,Lipoprotein signal peptidase,2,2,1.0,47,10,,,,459,459,459.0,OCAFGGHM_01319,GPENAHNM_01241
group_456,,hypothetical protein,2,2,1.0,47,9,,,,1893,1893,1893.0,OCAFGGHM_01316,GPENAHNM_01245
group_455,,hypothetical protein,2,2,1.0,47,8,,,,174,174,174.0,OCAFGGHM_01323,GPENAHNM_01237
fhs1,fhs1,Formate--tetrahydrofolate ligase 1,2,2,1.0,47,7,,,,1677,1677,1677.0,OCAFGGHM_01318,GPENAHNM_01242
lacG,lacG,6-phospho-beta-galactosidase,2,2,1.0,47,6,,,,1410,1410,1410.0,OCAFGGHM_01313,GPENAHNM_01249
pyrAB,pyrAB,Carbamoyl phosphate synthase pyrimidine-specific large chain,2,2,1.0,47,5,,,,3174,3174,3174.0,OCAFGGHM_01322,GPENAHNM_01238
lacE_1~~~lacE~~~lacE_2,lacE_1;lacE;lacE_2,PTS system lactose-specific EIICB component,2,3,1.5,47,4,,,,663,1713,1134.0,OCAFGGHM_01314,GPENAHNM_01248;GPENAHNM_01247
rluD_1~~~rluD_2,rluD_1;rluD_2,Ribosomal large subunit pseudouridine synthase D,2,2,1.0,47,3,,,,906,906,906.0,OCAFGGHM_01320,GPENAHNM_01240
group_454,,hypothetical protein,2,2,1.0,47,2,,,,348,348,348.0,OCAFGGHM_01317,GPENAHNM_01243
group_452,,hypothetical protein,2,2,1.0,46,3,,,,1248,1248,1248.0,OCAFGGHM_01312,GPENAHNM_00532
deoD,deoD,Purine nucleoside phosphorylase DeoD-type,2,2,1.0,46,2,,,,756,756,756.0,OCAFGGHM_01310,GPENAHNM_00530
glnA,glnA,Glutamine synthetase,2,2,1.0,46,1,,,,1338,1398,1368.0,OCAFGGHM_01311,GPENAHNM_00531
bmpA_4,bmpA_4,ABC transporter nucleoside-binding protein BmpA,2,2,1.0,45,1,,,,1083,1083,1083.0,OCAFGGHM_01309,GPENAHNM_01390
resD,resD,Transcriptional regulatory protein ResD,2,2,1.0,44,9,,,,723,723,723.0,OCAFGGHM_01300,GPENAHNM_00947
pepX,pepX,Xaa-Pro dipeptidyl-peptidase,2,2,1.0,44,7,,,,2379,2379,2379.0,OCAFGGHM_01306,GPENAHNM_00952
group_450,,hypothetical protein,2,2,1.0,44,6,,,,510,510,510.0,OCAFGGHM_01307,GPENAHNM_00953
yfcJ,yfcJ;,putative MFS-type transporter YfcJ;hypothetical protein,2,3,1.5,44,5,,,,486,1179,787.0,OCAFGGHM_01308,GPENAHNM_01388;GPENAHNM_00954
mgsR,mgsR,Regulatory protein MgsR,2,2,1.0,44,4,,,,357,357,357.0,OCAFGGHM_01305,GPENAHNM_00951
gmuF,gmuF,putative mannose-6-phosphate isomerase GmuF,2,2,1.0,44,3,,,,963,963,963.0,OCAFGGHM_01302,GPENAHNM_00949
group_449,,hypothetical protein,2,2,1.0,44,2,,,,393,393,393.0,OCAFGGHM_01301,GPENAHNM_00948
sasA_3~~~sasA_2,sasA_3;sasA_2,Adaptive-response sensory-kinase SasA,2,2,1.0,44,1,,,,1476,1476,1476.0,OCAFGGHM_01299,GPENAHNM_00946
group_448,,hypothetical protein,2,2,1.0,43,18,,,,576,576,576.0,OCAFGGHM_01287,GPENAHNM_01138
crtE,crtE,Geranylgeranyl pyrophosphate synthase,2,2,1.0,43,17,,,,867,867,867.0,OCAFGGHM_01297,GPENAHNM_01128
xseB,xseB,Exodeoxyribonuclease 7 small subunit,2,2,1.0,43,16,,,,243,243,243.0,OCAFGGHM_01296,GPENAHNM_01129
xseA,xseA,Exodeoxyribonuclease 7 large subunit,2,2,1.0,43,15,,,,1362,1362,1362.0,OCAFGGHM_01295,GPENAHNM_01130
folD,folD,Bifunctional protein FolD protein,2,2,1.0,43,14,,,,852,852,852.0,OCAFGGHM_01294,GPENAHNM_01131
group_447,,Iron-sulfur cluster assembly SufBD family protein,2,2,1.0,43,13,,,,1230,1230,1230.0,OCAFGGHM_01283,GPENAHNM_01142
rplU,rplU,Large ribosomal subunit protein bL21,2,2,1.0,43,12,,,,312,312,312.0,OCAFGGHM_01288,GPENAHNM_01137
iscU,iscU,Iron-sulfur cluster assembly scaffold protein IscU,2,2,1.0,43,11,,,,444,444,444.0,OCAFGGHM_01285,GPENAHNM_01140
sufC,sufC,Vegetative protein 296,2,2,1.0,43,10,,,,792,792,792.0,OCAFGGHM_01282,GPENAHNM_01143
nusB,nusB,Transcription antitermination protein NusB,2,2,1.0,43,9,,,,402,402,402.0,OCAFGGHM_01293,GPENAHNM_01132
tlyA,tlyA,Hemolysin A,2,2,1.0,43,8,,,,813,813,813.0,OCAFGGHM_01298,GPENAHNM_01127
sufS,sufS,Cysteine desulfurase SufS,2,2,1.0,43,7,,,,1194,1194,1194.0,OCAFGGHM_01284,GPENAHNM_01141
group_446,,Iron-sulfur cluster assembly SufBD family protein,2,2,1.0,43,6,,,,1404,1404,1404.0,OCAFGGHM_01286,GPENAHNM_01139
rpmA,rpmA,Large ribosomal subunit protein bL27,2,2,1.0,43,5,,,,300,300,300.0,OCAFGGHM_01289,GPENAHNM_01136
ypdF,ypdF,Aminopeptidase YpdF,2,2,1.0,43,3,,,,1107,1107,1107.0,OCAFGGHM_01290,GPENAHNM_01135
efp_2,efp_2,Elongation factor P,2,2,1.0,43,2,,,,570,570,570.0,OCAFGGHM_01291,GPENAHNM_01134
group_445,,hypothetical protein,2,2,1.0,43,1,,,,447,447,447.0,OCAFGGHM_01292,GPENAHNM_01133
aimA,aimA,Glutamate/serine transporter AimA,2,2,1.0,42,19,,,,1596,1596,1596.0,OCAFGGHM_01242,GPENAHNM_01189
secG,secG,putative protein-export membrane protein SecG,2,2,1.0,42,18,,,,234,234,234.0,OCAFGGHM_01250,GPENAHNM_01182
group_444,,hypothetical protein,2,3,1.5,42,17,,,,270,1194,578.0,OCAFGGHM_01238,GPENAHNM_01194;GPENAHNM_01193
rnr,rnr,Ribonuclease R,2,2,1.0,42,16,,,,2325,2325,2325.0,OCAFGGHM_01251,GPENAHNM_01181
gap,gap,Glyceraldehyde-3-phosphate dehydrogenase,2,2,1.0,42,15,,,,1017,1017,1017.0,OCAFGGHM_01246,GPENAHNM_01186
ycaM_3,ycaM_3,Inner membrane transporter YcaM,2,2,1.0,42,14,,,,1425,1425,1425.0,OCAFGGHM_01241,GPENAHNM_01190
group_443,,hypothetical protein,2,2,1.0,42,13,,,,516,516,516.0,OCAFGGHM_01253,GPENAHNM_01179
cggR,cggR,Central glycolytic genes regulator,2,2,1.0,42,12,,,,1032,1032,1032.0,OCAFGGHM_01245,GPENAHNM_01187
clpP,clpP,ATP-dependent Clp protease proteolytic subunit,2,2,1.0,42,11,,,,582,582,582.0,OCAFGGHM_01239,GPENAHNM_01192
eno2,eno2,Enolase 2,2,2,1.0,42,10,,,,1299,1299,1299.0,OCAFGGHM_01249,GPENAHNM_01183
perR,perR,Peroxide-responsive repressor PerR,2,2,1.0,42,9,,,,453,453,453.0,OCAFGGHM_01240,GPENAHNM_01191
smpB,smpB,SsrA-binding protein,2,2,1.0,42,7,,,,456,456,456.0,OCAFGGHM_01252,GPENAHNM_01180
pgk,pgk,Phosphoglycerate kinase,2,2,1.0,42,6,,,,1212,1212,1212.0,OCAFGGHM_01247,GPENAHNM_01185
tpiA,tpiA,Triosephosphate isomerase,2,2,1.0,42,5,,,,756,756,756.0,OCAFGGHM_01248,GPENAHNM_01184
ung,ung,Uracil-DNA glycosylase,2,2,1.0,42,3,,,,690,690,690.0,OCAFGGHM_01254,GPENAHNM_01178
ldhA,ldhA,D-2-hydroxyacid dehydrogenase (NAD(+)),2,2,1.0,42,1,,,,993,993,993.0,OCAFGGHM_01237,GPENAHNM_01195
whiA,whiA,putative cell division protein WhiA,2,2,1.0,41,1,,,,939,939,939.0,OCAFGGHM_01235,GPENAHNM_01197
group_440,,hypothetical protein,2,2,1.0,40,18,,,,801,801,801.0,OCAFGGHM_01234,GPENAHNM_01277
group_439,,hypothetical protein,2,2,1.0,40,17,,,,801,801,801.0,OCAFGGHM_01229,GPENAHNM_01272
group_438,,hypothetical protein,2,2,1.0,40,16,,,,930,930,930.0,OCAFGGHM_01231,GPENAHNM_01274
group_437,,hypothetical protein,2,2,1.0,40,15,,,,1293,1293,1293.0,OCAFGGHM_01221,GPENAHNM_01264
nrdD,nrdD,Anaerobic ribonucleoside-triphosphate reductase,2,2,1.0,40,14,,,,2211,2211,2211.0,OCAFGGHM_01224,GPENAHNM_01267
group_436,,Putative universal stress protein,2,2,1.0,40,13,,,,483,483,483.0,OCAFGGHM_01233,GPENAHNM_01276
group_435,,hypothetical protein,2,2,1.0,40,12,,,,90,90,90.0,OCAFGGHM_01232,GPENAHNM_01275
kup,kup,Low affinity potassium transport system protein Kup,2,2,1.0,40,11,,,,2043,2043,2043.0,OCAFGGHM_01218,GPENAHNM_01261
group_434,,hypothetical protein,2,2,1.0,40,10,,,,717,717,717.0,OCAFGGHM_01223,GPENAHNM_01266
glnQ_1,glnQ_1,Glutamine transport ATP-binding protein GlnQ,2,2,1.0,40,9,,,,774,774,774.0,OCAFGGHM_01230,GPENAHNM_01273
group_433,,hypothetical protein,2,2,1.0,40,8,,,,1377,1377,1377.0,OCAFGGHM_01226,GPENAHNM_01269
phnE,phnE,Phosphate-import permease protein PhnE,2,2,1.0,40,7,,,,813,813,813.0,OCAFGGHM_01228,GPENAHNM_01271
pepO_2,pepO_2,Neutral endopeptidase,2,2,1.0,40,6,,,,1944,1944,1944.0,OCAFGGHM_01219,GPENAHNM_01262
group_432,,hypothetical protein,2,2,1.0,40,5,,,,405,405,405.0,OCAFGGHM_01217,GPENAHNM_01260
asnB,asnB,Asparagine synthetase [glutamine-hydrolyzing] 1,2,2,1.0,40,4,,,,1950,1950,1950.0,OCAFGGHM_01225,GPENAHNM_01268
mdtH,mdtH,Multidrug resistance protein MdtH,2,2,1.0,40,3,,,,1215,1215,1215.0,OCAFGGHM_01220,GPENAHNM_01263
group_431,,hypothetical protein,2,2,1.0,40,2,,,,567,567,567.0,OCAFGGHM_01222,GPENAHNM_01265
group_430,,hypothetical protein,2,2,1.0,40,1,,,,486,486,486.0,OCAFGGHM_01227,GPENAHNM_01270
gtfA,gtfA,Sucrose phosphorylase,2,2,1.0,39,2,,,,1446,1446,1446.0,OCAFGGHM_01203,GPENAHNM_00276
rbsR_1,rbsR_1,Ribose operon repressor,2,2,1.0,39,1,,,,951,951,951.0,OCAFGGHM_01204,GPENAHNM_00277
group_429,,putative protein,2,2,1.0,38,22,,,,363,363,363.0,OCAFGGHM_01193,GPENAHNM_01113
plsX,plsX,Phosphate acyltransferase,2,2,1.0,38,21,,,,1005,1005,1005.0,OCAFGGHM_01196,GPENAHNM_01110
group_428,,putative protein,2,2,1.0,38,20,,,,1656,1656,1656.0,OCAFGGHM_01194,GPENAHNM_01112
rsmB,rsmB,Ribosomal RNA small subunit methyltransferase B,2,2,1.0,38,19,,,,1314,1314,1314.0,OCAFGGHM_01186,GPENAHNM_01120
recN,recN,DNA repair protein RecN,2,2,1.0,38,18,,,,1686,1686,1686.0,OCAFGGHM_01180,GPENAHNM_01126
oppD,oppD,Oligopeptide transport ATP-binding protein OppD,2,2,1.0,38,17,,,,1017,1017,1017.0,OCAFGGHM_01198,GPENAHNM_01108
group_427,,hypothetical protein,2,2,1.0,38,16,,,,306,306,306.0,OCAFGGHM_01181,GPENAHNM_01125
acpP,acpP,Acyl carrier protein,2,2,1.0,38,15,,,,240,240,240.0,OCAFGGHM_01197,GPENAHNM_01109
priA,priA,Replication restart protein PriA,2,2,1.0,38,14,,,,2394,2394,2394.0,OCAFGGHM_01184,GPENAHNM_01122
rpe,rpe,Ribulose-phosphate 3-epimerase,2,2,1.0,38,13,,,,663,663,663.0,OCAFGGHM_01190,GPENAHNM_01116
oppF_2~~~oppF_1~~~oppF,oppF_2;oppF_1;oppF,Oligopeptide transport ATP-binding protein OppF,2,3,1.5,38,12,,,,267,969,653.0,OCAFGGHM_01199;OCAFGGHM_01200,GPENAHNM_01107
fmt,fmt,Methionyl-tRNA formyltransferase,2,2,1.0,38,11,,,,945,945,945.0,OCAFGGHM_01185,GPENAHNM_01121
group_426,,Putative protein phosphatase 2C-type,2,2,1.0,38,10,,,,750,750,750.0,OCAFGGHM_01187,GPENAHNM_01119
rpmB,rpmB,Large ribosomal subunit protein bL28,2,2,1.0,38,9,,,,186,186,186.0,OCAFGGHM_01192,GPENAHNM_01114
thiN,thiN,Thiamine pyrophosphokinase,2,2,1.0,38,8,,,,675,675,675.0,OCAFGGHM_01191,GPENAHNM_01115
oppB,oppB,Oligopeptide transport system permease protein OppB,2,2,1.0,38,7,,,,960,960,960.0,OCAFGGHM_01201,GPENAHNM_01106
rsgA,rsgA,Small ribosomal subunit biogenesis GTPase RsgA,2,2,1.0,38,6,,,,888,888,888.0,OCAFGGHM_01189,GPENAHNM_01117
gmk_2,gmk_2,Guanylate kinase,2,2,1.0,38,5,,,,615,615,615.0,OCAFGGHM_01182,GPENAHNM_01124
prkC,prkC,Serine/threonine-protein kinase PrkC,2,2,1.0,38,4,,,,1995,1995,1995.0,OCAFGGHM_01188,GPENAHNM_01118
recG,recG,ATP-dependent DNA helicase RecG,2,2,1.0,38,3,,,,2025,2025,2025.0,OCAFGGHM_01195,GPENAHNM_01111
rpoZ,rpoZ,DNA-directed RNA polymerase subunit omega,2,2,1.0,38,2,,,,219,219,219.0,OCAFGGHM_01183,GPENAHNM_01123
oppC,oppC,Oligopeptide transport system permease protein OppC,2,2,1.0,38,1,,,,915,915,915.0,OCAFGGHM_01202,GPENAHNM_01105
btuD_1~~~potA,btuD_1;potA,Vitamin B12 import ATP-binding protein BtuD;Spermidine/putrescine import ATP-binding protein PotA,2,3,1.5,37,30,,,,330,1101,726.0,OCAFGGHM_01154,GPENAHNM_01172;GPENAHNM_01173
polC_2~~~polC_4,polC_2;polC_4,DNA polymerase III PolC-type,2,2,1.0,37,29,,,,534,534,534.0,OCAFGGHM_01152,GPENAHNM_01175
ycaM_2,ycaM_2,Inner membrane transporter YcaM,2,2,1.0,37,28,,,,1638,1638,1638.0,OCAFGGHM_01173,GPENAHNM_01153
