Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Lactobacillus_gasseri__UMB1399__GCA_007826985.2,Lactobacillus_gasseri__UMB6735__GCA_030216645.1
group_585,,hypothetical protein,2,2,1.0,9,82,,,,654,654,654.0,DLKHCADP_01698,FKLDPHGP_00811
group_584,,hypothetical protein,2,3,1.5,9,81,,,,384,927,577.0,DLKHCADP_01136;DLKHCADP_01135,FKLDPHGP_01470
phnD2,phnD2,putative ABC transporter phosphonate/phosphite binding protein PhnD2,2,2,1.0,9,80,,,,930,930,930.0,DLKHCADP_00699,FKLDPHGP_00871
group_583,,hypothetical protein,2,2,1.0,9,79,,,,1527,1527,1527.0,DLKHCADP_00710,FKLDPHGP_00847
slmA,slmA,Nucleoid occlusion factor SlmA,2,2,1.0,9,78,,,,660,660,660.0,DLKHCADP_00708,FKLDPHGP_00845
bioH,bioH,Pimeloyl-[acyl-carrier protein] methyl ester esterase,2,2,1.0,9,77,,,,663,663,663.0,DLKHCADP_01727,FKLDPHGP_00840
group_582,,hypothetical protein,2,2,1.0,9,76,,,,150,213,181.5,DLKHCADP_01014,FKLDPHGP_01458
group_581,,hypothetical protein,2,2,1.0,9,75,,,,951,951,951.0,DLKHCADP_01746,FKLDPHGP_01498
gspA,gspA,General stress protein A,2,2,1.0,9,74,,,,951,951,951.0,DLKHCADP_01745,FKLDPHGP_01497
bsh,bsh,Conjugated bile acid hydrolase,2,2,1.0,9,73,,,,951,951,951.0,DLKHCADP_01741,FKLDPHGP_01492
nhaK,;nhaK,hypothetical protein;Sodium potassium lithium and rubidium/H(+) antiporter,2,3,1.5,9,72,,,,693,1572,1045.0,DLKHCADP_00714;DLKHCADP_00713,FKLDPHGP_00850
group_580,,hypothetical protein,2,2,1.0,9,71,,,,387,387,387.0,DLKHCADP_00690,FKLDPHGP_00862
adaB,adaB,Methylated-DNA--protein-cysteine methyltransferase inducible,2,2,1.0,9,70,,,,483,531,507.0,DLKHCADP_01718,FKLDPHGP_00831
mltF_2,mltF_2,Membrane-bound lytic murein transglycosylase F,2,2,1.0,9,69,,,,1614,1614,1614.0,DLKHCADP_01714,FKLDPHGP_00827
group_579,,hypothetical protein,2,3,1.5,9,68,,,,396,1347,834.0,DLKHCADP_01743,FKLDPHGP_01494;FKLDPHGP_01495
group_578,,hypothetical protein,2,2,1.0,9,67,,,,147,147,147.0,DLKHCADP_00698,FKLDPHGP_00870
ypuA,ypuA,putative protein YpuA,2,2,1.0,9,66,,,,969,969,969.0,DLKHCADP_01725,FKLDPHGP_00838
group_577,,hypothetical protein,2,2,1.0,9,65,,,,399,399,399.0,DLKHCADP_00689,FKLDPHGP_00861
group_576,,hypothetical protein,2,2,1.0,9,64,,,,690,690,690.0,DLKHCADP_01130,FKLDPHGP_01465
prs_2,prs_2,Ribose-phosphate pyrophosphokinase,2,2,1.0,9,63,,,,990,990,990.0,DLKHCADP_01729,FKLDPHGP_00842
group_575,,hypothetical protein,2,2,1.0,9,62,,,,411,411,411.0,DLKHCADP_01705,FKLDPHGP_00818
catM_2,catM_2;,HTH-type transcriptional regulator CatM;hypothetical protein,2,3,1.5,9,61,,,,249,927,558.0,DLKHCADP_01735;DLKHCADP_01734,FKLDPHGP_01486
sapB,sapB,Protein SapB,2,2,1.0,9,60,,,,702,702,702.0,DLKHCADP_01011,FKLDPHGP_01455
group_574,,hypothetical protein,2,2,1.0,9,59,,,,708,708,708.0,DLKHCADP_01722,FKLDPHGP_00835
yfnB,yfnB,Putative HAD-hydrolase YfnB,2,2,1.0,9,58,,,,708,708,708.0,DLKHCADP_01131,FKLDPHGP_01466
menG,menG,Demethylmenaquinone methyltransferase,2,2,1.0,9,57,,,,714,714,714.0,DLKHCADP_01738,FKLDPHGP_01489
group_573,,D-lactate dehydrogenase,2,2,1.0,9,56,,,,1014,1014,1014.0,DLKHCADP_01127,FKLDPHGP_01481
group_572,,hypothetical protein,2,2,1.0,9,55,,,,1014,1014,1014.0,DLKHCADP_00692,FKLDPHGP_00864
cobB,cobB,NAD-dependent protein deacetylase,2,2,1.0,9,54,,,,714,714,714.0,DLKHCADP_01719,FKLDPHGP_00832
urdA,urdA,Urocanate reductase,2,2,1.0,9,53,,,,1851,1851,1851.0,DLKHCADP_01736,FKLDPHGP_01487
gamR,gamR,HTH-type transcriptional repressor GamR,2,2,1.0,9,52,,,,720,720,720.0,DLKHCADP_00719,FKLDPHGP_00855
group_571,,hypothetical protein,2,2,1.0,9,51,,,,720,720,720.0,DLKHCADP_00712,FKLDPHGP_00849
group_570,,hypothetical protein,2,2,1.0,9,50,,,,141,141,141.0,DLKHCADP_01706,FKLDPHGP_00819
mngR,mngR,Mannosyl-D-glycerate transport/metabolism system repressor MngR,2,2,1.0,9,49,,,,726,726,726.0,DLKHCADP_00695,FKLDPHGP_00867
tetM,tetM,Tetracycline resistance protein TetM from transposon Tn916,2,2,1.0,9,48,,,,1923,1923,1923.0,DLKHCADP_01134,FKLDPHGP_01469
group_569,,hypothetical protein,2,2,1.0,9,47,,,,147,147,147.0,DLKHCADP_01708,FKLDPHGP_00821
smoB,smoB,6-dehydroglucose reductase,2,2,1.0,9,46,,,,1047,1047,1047.0,DLKHCADP_01016,FKLDPHGP_01461
group_568,,hypothetical protein,2,2,1.0,9,45,,,,1050,1050,1050.0,DLKHCADP_01123,FKLDPHGP_01477
group_567,,hypothetical protein,2,2,1.0,9,44,,,,150,150,150.0,DLKHCADP_00997,FKLDPHGP_01441
asnB,asnB,Asparagine synthetase [glutamine-hydrolyzing] 1,2,2,1.0,9,43,,,,1950,1950,1950.0,DLKHCADP_00705,FKLDPHGP_00877
gyrB,gyrB,DNA gyrase subunit B,2,2,1.0,9,42,,,,1968,1968,1968.0,DLKHCADP_00999,FKLDPHGP_01443
group_566,,hypothetical protein,2,2,1.0,9,41,,,,165,165,165.0,DLKHCADP_01137,FKLDPHGP_01471
group_565,,hypothetical protein,2,2,1.0,9,40,,,,1083,1083,1083.0,DLKHCADP_00715,FKLDPHGP_00851
gdpP,gdpP,Cyclic-di-AMP phosphodiesterase GdpP,2,2,1.0,9,39,,,,2019,2019,2019.0,DLKHCADP_01005,FKLDPHGP_01449
group_564,,hypothetical protein,2,2,1.0,9,38,,,,2019,2019,2019.0,DLKHCADP_01010,FKLDPHGP_01454
ddlA,ddlA,D-alanine--D-alanine ligase A,2,2,1.0,9,37,,,,1086,1086,1086.0,DLKHCADP_00711,FKLDPHGP_00848
rplI,rplI,Large ribosomal subunit protein bL9,2,2,1.0,9,36,,,,456,456,456.0,DLKHCADP_01006,FKLDPHGP_01450
rnhA,rnhA,Ribonuclease H,2,2,1.0,9,35,,,,756,756,756.0,DLKHCADP_01724,FKLDPHGP_00837
glnQ_2,glnQ_2,Glutamine transport ATP-binding protein GlnQ,2,2,1.0,9,34,,,,759,759,759.0,DLKHCADP_01713,FKLDPHGP_00826
ybiR,ybiR,Inner membrane protein YbiR,2,2,1.0,9,33,,,,1107,1107,1107.0,DLKHCADP_01704,FKLDPHGP_00817
group_563,,hypothetical protein,2,2,1.0,9,32,,,,186,186,186.0,DLKHCADP_01133,FKLDPHGP_01468
group_562,,Endoglucanase,2,2,1.0,9,31,,,,1119,1119,1119.0,DLKHCADP_01710,FKLDPHGP_00823
group_561,,hypothetical protein,2,2,1.0,9,30,,,,762,762,762.0,DLKHCADP_00716,FKLDPHGP_00852
recF,recF,DNA replication and repair protein RecF,2,2,1.0,9,29,,,,1125,1125,1125.0,DLKHCADP_00998,FKLDPHGP_01442
dnaN,dnaN,Beta sliding clamp,2,2,1.0,9,28,,,,1131,1131,1131.0,DLKHCADP_00996,FKLDPHGP_01440
group_560,,hypothetical protein,2,2,1.0,9,27,,,,477,477,477.0,DLKHCADP_01720,FKLDPHGP_00833
ntd,ntd,Nucleoside deoxyribosyltransferase,2,2,1.0,9,26,,,,477,477,477.0,DLKHCADP_00693,FKLDPHGP_00865
rlmH,rlmH,Ribosomal RNA large subunit methyltransferase H,2,2,1.0,9,25,,,,480,480,480.0,DLKHCADP_01697,FKLDPHGP_00810
group_559,,hypothetical protein,2,2,1.0,9,24,,,,1143,1143,1143.0,DLKHCADP_01009,FKLDPHGP_01453
group_558,,hypothetical protein,2,2,1.0,9,23,,,,783,783,783.0,DLKHCADP_01748,FKLDPHGP_01500
alx,alx,Putative membrane-bound redox modulator Alx,2,2,1.0,9,22,,,,783,783,783.0,DLKHCADP_01717,FKLDPHGP_00830
gyrA,gyrA,DNA gyrase subunit A GyrA,2,2,1.0,9,21,,,,2490,2490,2490.0,DLKHCADP_01000,FKLDPHGP_01444
group_557,,hypothetical protein,2,2,1.0,9,20,,,,483,483,483.0,DLKHCADP_00703,FKLDPHGP_00875
guaB,guaB,Inosine-5'-monophosphate dehydrogenase,2,2,1.0,9,19,,,,1155,1155,1155.0,DLKHCADP_01125,FKLDPHGP_01479
agaA_1,agaA_1,N-acetylgalactosamine-6-phosphate deacetylase,2,2,1.0,9,18,,,,1158,1158,1158.0,DLKHCADP_00721,FKLDPHGP_00857
glnQ_1,glnQ_1,Glutamine transport ATP-binding protein GlnQ,2,2,1.0,9,17,,,,786,786,786.0,DLKHCADP_00700,FKLDPHGP_00872
levE,levE,PTS system fructose-specific EIIB component,2,2,1.0,9,16,,,,489,489,489.0,DLKHCADP_00686,FKLDPHGP_00858
eis,eis,N-acetyltransferase Eis,2,2,1.0,9,15,,,,1161,1161,1161.0,DLKHCADP_01018,FKLDPHGP_01463
agaS,agaS,D-galactosamine-6-phosphate deaminase AgaS,2,2,1.0,9,14,,,,1167,1167,1167.0,DLKHCADP_00720,FKLDPHGP_00856
group_556,,hypothetical protein,2,2,1.0,9,13,,,,1173,1173,1173.0,DLKHCADP_00691,FKLDPHGP_00863
group_555,,Putative universal stress protein,2,2,1.0,9,12,,,,495,495,495.0,DLKHCADP_00697,FKLDPHGP_00869
uvrB_1,uvrB_1,UvrABC system protein B,2,2,1.0,9,11,,,,2844,2844,2844.0,DLKHCADP_01120,FKLDPHGP_01474
group_554,,hypothetical protein,2,2,1.0,9,10,,,,2958,2958,2958.0,DLKHCADP_01732,FKLDPHGP_01484
walJ,walJ,Exodeoxyribonuclease WalJ,2,2,1.0,9,9,,,,798,798,798.0,DLKHCADP_01695,FKLDPHGP_00808
group_553,,hypothetical protein,2,2,1.0,9,8,,,,3060,3060,3060.0,DLKHCADP_00718,FKLDPHGP_00854
phnE,phnE,Phosphate-import permease protein PhnE,2,2,1.0,9,7,,,,804,804,804.0,DLKHCADP_00701,FKLDPHGP_00873
iphP,iphP,Tyrosine-protein phosphatase,2,2,1.0,9,6,,,,804,804,804.0,DLKHCADP_00696,FKLDPHGP_00868
ssb,ssb,Single-stranded DNA-binding protein,2,2,1.0,9,5,,,,519,519,519.0,DLKHCADP_01002,FKLDPHGP_01446
rpsR,rpsR,Small ribosomal subunit protein bS18,2,2,1.0,9,4,,,,237,237,237.0,DLKHCADP_01003,FKLDPHGP_01447
group_552,,hypothetical protein,2,2,1.0,9,3,,,,1212,1212,1212.0,DLKHCADP_01730,FKLDPHGP_00843
htrA,htrA,Serine protease Do-like HtrA,2,2,1.0,9,2,,,,1221,1221,1221.0,DLKHCADP_01696,FKLDPHGP_00809
group_551,,hypothetical protein,2,2,1.0,9,1,,,,813,813,813.0,DLKHCADP_00702,FKLDPHGP_00874
group_550,,hypothetical protein,2,2,1.0,8,1,,,,219,219,219.0,DLKHCADP_00613,FKLDPHGP_01152
acpP,acpP,Acyl carrier protein,2,2,1.0,7,412,,,,243,243,243.0,DLKHCADP_00414,FKLDPHGP_00246
xseB,xseB,Exodeoxyribonuclease 7 small subunit,2,2,1.0,7,411,,,,246,246,246.0,DLKHCADP_00668,FKLDPHGP_00226
group_548,,hypothetical protein,2,2,1.0,7,409,,,,249,249,249.0,DLKHCADP_01909,FKLDPHGP_00096
group_547,,hypothetical protein,2,2,1.0,7,408,,,,249,249,249.0,DLKHCADP_00436,FKLDPHGP_00267
rpsP,rpsP,Small ribosomal subunit protein bS16,2,2,1.0,7,404,,,,273,273,273.0,DLKHCADP_00428,FKLDPHGP_00259
hup,hup,DNA-binding protein HU,2,2,1.0,7,403,,,,276,276,276.0,DLKHCADP_00737,FKLDPHGP_00368
group_537,,hypothetical protein,2,2,1.0,7,396,,,,282,282,282.0,DLKHCADP_00846,FKLDPHGP_00312
group_535,,hypothetical protein,2,2,1.0,7,394,,,,294,294,294.0,DLKHCADP_00672,FKLDPHGP_00230
group_532,,hypothetical protein,2,2,1.0,7,391,,,,297,297,297.0,DLKHCADP_00454,FKLDPHGP_00286
rpmA,rpmA,Large ribosomal subunit protein bL27,2,2,1.0,7,390,,,,300,300,300.0,DLKHCADP_00661,FKLDPHGP_00219
rplU,rplU,Large ribosomal subunit protein bL21,2,2,1.0,7,385,,,,312,312,312.0,DLKHCADP_00660,FKLDPHGP_00218
group_527,,hypothetical protein,2,2,1.0,7,384,,,,312,312,312.0,DLKHCADP_00455,FKLDPHGP_00287
group_526,,hypothetical protein,2,2,1.0,7,383,,,,315,315,315.0,DLKHCADP_01911,FKLDPHGP_00094
group_524,,hypothetical protein,2,2,1.0,7,381,,,,318,318,318.0,DLKHCADP_00848,FKLDPHGP_00314
group_523,,hypothetical protein,2,2,1.0,7,380,,,,327,327,327.0,DLKHCADP_00935,FKLDPHGP_00159
group_522,,hypothetical protein,2,2,1.0,7,379,,,,327,327,327.0,DLKHCADP_00751,FKLDPHGP_00349
group_520,,hypothetical protein,2,2,1.0,7,377,,,,330,330,330.0,DLKHCADP_00942,FKLDPHGP_00140
group_517,,hypothetical protein,2,2,1.0,7,374,,,,333,333,333.0,DLKHCADP_00651,FKLDPHGP_00209
group_512,,hypothetical protein,2,2,1.0,7,368,,,,342,342,342.0,DLKHCADP_00930,FKLDPHGP_00154
group_511,,hypothetical protein,2,2,1.0,7,367,,,,342,342,342.0,DLKHCADP_00426,FKLDPHGP_00257
group_510,,hypothetical protein,2,2,1.0,7,365,,,,348,348,348.0,DLKHCADP_00652,FKLDPHGP_00210
rplS,rplS,Large ribosomal subunit protein bL19,2,2,1.0,7,364,,,,351,351,351.0,DLKHCADP_00431,FKLDPHGP_00262
lacF_3,lacF_3,PTS system lactose-specific EIIA component,2,2,1.0,7,363,,,,357,357,357.0,DLKHCADP_01907,FKLDPHGP_00098
mgsR,mgsR,Regulatory protein MgsR,2,2,1.0,7,362,,,,357,357,357.0,DLKHCADP_00659,FKLDPHGP_00217
ribT,ribT,Protein RibT,2,2,1.0,7,360,,,,363,363,363.0,DLKHCADP_00728,FKLDPHGP_00359
group_508,,putative protein,2,2,1.0,7,359,,,,363,363,363.0,DLKHCADP_00684,FKLDPHGP_00242
group_505,,hypothetical protein,2,2,1.0,7,356,,,,366,366,366.0,DLKHCADP_00643,FKLDPHGP_00202
rbfA,rbfA,Ribosome-binding factor A,2,2,1.0,7,351,,,,372,372,372.0,DLKHCADP_00457,FKLDPHGP_00289
group_500,,hypothetical protein,2,2,1.0,7,350,,,,381,381,381.0,DLKHCADP_00835,FKLDPHGP_00329
group_499,,hypothetical protein,2,2,1.0,7,349,,,,381,381,381.0,DLKHCADP_00740,FKLDPHGP_00338
group_492,,hypothetical protein,2,2,1.0,7,342,,,,402,402,402.0,DLKHCADP_00739,FKLDPHGP_00337
nusB,nusB,Transcription antitermination protein NusB,2,2,1.0,7,341,,,,402,402,402.0,DLKHCADP_00665,FKLDPHGP_00223
group_488,,hypothetical protein,2,2,1.0,7,337,,,,420,420,420.0,DLKHCADP_00634,FKLDPHGP_00194
lacA,lacA,Galactose-6-phosphate isomerase subunit LacA,2,2,1.0,7,334,,,,429,429,429.0,DLKHCADP_01915,FKLDPHGP_00090
group_485,,hypothetical protein,2,2,1.0,7,333,,,,432,432,432.0,DLKHCADP_01944,FKLDPHGP_00116
group_484,,hypothetical protein,2,2,1.0,7,332,,,,432,432,432.0,DLKHCADP_01896,FKLDPHGP_00109
dtd,dtd,D-aminoacyl-tRNA deacylase,2,2,1.0,7,329,,,,438,438,438.0,DLKHCADP_00837,FKLDPHGP_00331
group_481,,hypothetical protein,2,2,1.0,7,328,,,,438,438,438.0,DLKHCADP_00641,FKLDPHGP_00200
group_479,,hypothetical protein,2,2,1.0,7,326,,,,441,441,441.0,DLKHCADP_01936,FKLDPHGP_00123
group_478,,hypothetical protein,2,2,1.0,7,325,,,,444,444,444.0,DLKHCADP_00841,FKLDPHGP_00335
group_477,,putative protein,2,2,1.0,7,324,,,,447,447,447.0,DLKHCADP_00664,FKLDPHGP_00222
group_476,,Flavodoxin,2,2,1.0,7,323,,,,447,447,447.0,DLKHCADP_00550,FKLDPHGP_00174
dps,dps,DNA protection during starvation protein,2,2,1.0,7,317,,,,468,468,468.0,DLKHCADP_00929,FKLDPHGP_00153
rimP,rimP,Ribosome maturation factor RimP,2,2,1.0,7,312,,,,477,477,477.0,DLKHCADP_00452,FKLDPHGP_00284
group_466,,hypothetical protein,2,2,1.0,7,310,,,,492,492,492.0,DLKHCADP_01912,FKLDPHGP_00093
sorB_2,sorB_2,PTS system sorbose-specific EIIB component,2,2,1.0,7,308,,,,495,495,495.0,DLKHCADP_01947,FKLDPHGP_00113
group_464,,hypothetical protein,2,2,1.0,7,307,,,,504,504,504.0,DLKHCADP_00833,FKLDPHGP_00327
group_462,,hypothetical protein,2,2,1.0,7,305,,,,513,513,513.0,DLKHCADP_00549,FKLDPHGP_00173
dfrA,dfrA,Dihydrofolate reductase,2,2,1.0,7,303,,,,516,516,516.0,DLKHCADP_00535,FKLDPHGP_00305
group_459,,hypothetical protein,2,2,1.0,7,301,,,,522,522,522.0,DLKHCADP_00947,FKLDPHGP_00145
rimM,rimM,Ribosome maturation factor RimM,2,2,1.0,7,300,,,,522,522,522.0,DLKHCADP_00429,FKLDPHGP_00260
apt,apt,Adenine phosphoribosyltransferase,2,2,1.0,7,299,,,,528,528,528.0,DLKHCADP_00469,FKLDPHGP_00301
yagU_2,yagU_2,Inner membrane protein YagU,2,2,1.0,7,297,,,,540,540,540.0,DLKHCADP_01588,FKLDPHGP_00084
group_454,,hypothetical protein,2,2,1.0,7,293,,,,558,558,558.0,DLKHCADP_00654,FKLDPHGP_00212
frr,frr,Ribosome-recycling factor,2,2,1.0,7,292,,,,558,558,558.0,DLKHCADP_00446,FKLDPHGP_00278
group_453,,hypothetical protein,2,2,1.0,7,291,,,,561,561,561.0,DLKHCADP_00639,FKLDPHGP_00198
efp_2,efp_2,Elongation factor P,2,2,1.0,7,289,,,,570,570,570.0,DLKHCADP_00663,FKLDPHGP_00221
hpt_1,hpt_1,Hypoxanthine-guanine phosphoribosyltransferase,2,2,1.0,7,288,,,,570,570,570.0,DLKHCADP_00542,FKLDPHGP_00165
lacB,lacB,Galactose-6-phosphate isomerase subunit LacB,2,2,1.0,7,287,,,,576,576,576.0,DLKHCADP_01914,FKLDPHGP_00091
grpE,grpE,Protein GrpE,2,2,1.0,7,286,,,,579,579,579.0,DLKHCADP_00463,FKLDPHGP_00295
group_451,,hypothetical protein,2,2,1.0,7,285,,,,585,585,585.0,DLKHCADP_00844,FKLDPHGP_00310
group_449,,hypothetical protein,2,2,1.0,7,283,,,,588,588,588.0,DLKHCADP_01895,FKLDPHGP_00110
scpB,scpB,Segregation and condensation protein B,2,2,1.0,7,282,,,,591,591,591.0,DLKHCADP_00730,FKLDPHGP_00361
ribU,ribU,Riboflavin transporter RibU,2,2,1.0,7,281,,,,594,594,594.0,DLKHCADP_00733,FKLDPHGP_00364
group_448,,hypothetical protein,2,2,1.0,7,280,,,,600,600,600.0,DLKHCADP_00635,FKLDPHGP_00195
uptA,uptA,Undecaprenyl phosphate transporter A,2,2,1.0,7,279,,,,612,612,612.0,DLKHCADP_00744,FKLDPHGP_00342
gmk_1,gmk_1,Guanylate kinase,2,2,1.0,7,277,,,,615,615,615.0,DLKHCADP_00673,FKLDPHGP_00231
plsC,plsC,1-acyl-sn-glycerol-3-phosphate acyltransferase,2,2,1.0,7,276,,,,615,615,615.0,DLKHCADP_00441,FKLDPHGP_00273
group_445,,hypothetical protein,2,2,1.0,7,274,,,,621,621,621.0,DLKHCADP_01899,FKLDPHGP_00106
lexA,lexA,LexA repressor,2,2,1.0,7,273,,,,624,624,624.0,DLKHCADP_00435,FKLDPHGP_00266
group_443,,hypothetical protein,2,2,1.0,7,271,,,,627,627,627.0,DLKHCADP_00461,FKLDPHGP_00293
udk,udk,Uridine kinase,2,2,1.0,7,270,,,,636,636,636.0,DLKHCADP_00939,FKLDPHGP_00136
tmung,tmung,Type-4 uracil-DNA glycosylase,2,2,1.0,7,269,,,,636,636,636.0,DLKHCADP_00434,FKLDPHGP_00265
glnM,glnM,putative glutamine ABC transporter permease protein GlnM,2,2,1.0,7,268,,,,639,639,639.0,DLKHCADP_01930,FKLDPHGP_00129
group_442,,hypothetical protein,2,2,1.0,7,267,,,,642,642,642.0,DLKHCADP_00743,FKLDPHGP_00341
spsB_2,spsB_2,Signal peptidase IB,2,2,1.0,7,266,,,,642,642,642.0,DLKHCADP_00432,FKLDPHGP_00263
group_441,,hypothetical protein,2,2,1.0,7,265,,,,648,648,648.0,DLKHCADP_00842,FKLDPHGP_00336
glnP,glnP,putative glutamine ABC transporter permease protein GlnP,2,2,1.0,7,264,,,,651,651,651.0,DLKHCADP_01929,FKLDPHGP_00130
rpe,rpe,Ribulose-phosphate 3-epimerase,2,2,1.0,7,263,,,,651,651,651.0,DLKHCADP_00681,FKLDPHGP_00239
cnbA,cnbA,Chloronitrobenzene nitroreductase,2,2,1.0,7,260,,,,657,657,657.0,DLKHCADP_00539,FKLDPHGP_00162
cmk,cmk,Cytidylate kinase,2,2,1.0,7,259,,,,666,666,666.0,DLKHCADP_00734,FKLDPHGP_00365
tcrA,tcrA,Transcriptional regulatory protein TcrA,2,2,1.0,7,258,,,,666,666,666.0,DLKHCADP_00560,FKLDPHGP_00184
thiN,thiN,Thiamine pyrophosphokinase,2,2,1.0,7,257,,,,669,669,669.0,DLKHCADP_00682,FKLDPHGP_00240
group_438,,hypothetical protein,2,2,1.0,7,256,,,,681,681,681.0,DLKHCADP_01913,FKLDPHGP_00092
rnc,rnc,Ribonuclease 3,2,2,1.0,7,254,,,,681,681,681.0,DLKHCADP_00422,FKLDPHGP_00253
phoU,phoU,Phosphate-specific transport system accessory protein PhoU,2,2,1.0,7,253,,,,684,684,684.0,DLKHCADP_00927,FKLDPHGP_00151
strA,strA,Sortase A,2,2,1.0,7,252,,,,690,690,690.0,DLKHCADP_00467,FKLDPHGP_00299
group_436,,hypothetical protein,2,2,1.0,7,251,,,,696,696,696.0,DLKHCADP_00567,FKLDPHGP_00191
rpiA,rpiA,Ribose-5-phosphate isomerase A,2,2,1.0,7,250,,,,699,699,699.0,DLKHCADP_00932,FKLDPHGP_00156
group_435,,hypothetical protein,2,2,1.0,7,249,,,,699,699,699.0,DLKHCADP_00540,FKLDPHGP_00163
metP,metP,Methionine import system permease protein MetP,2,2,1.0,7,248,,,,702,702,702.0,DLKHCADP_00853,FKLDPHGP_00319
group_434,,hypothetical protein,2,2,1.0,7,247,,,,711,711,711.0,DLKHCADP_00544,FKLDPHGP_00167
rluB_1,rluB_1,Ribosomal large subunit pseudouridine synthase B,2,2,1.0,7,245,,,,720,720,720.0,DLKHCADP_00731,FKLDPHGP_00362
uppS,uppS,Ditranspolycis-undecaprenyl-diphosphate synthase ((2E6E)-farnesyl-diphosphate specific),2,2,1.0,7,244,,,,720,720,720.0,DLKHCADP_00447,FKLDPHGP_00279
group_433,,hypothetical protein,2,2,1.0,7,243,,,,723,723,723.0,DLKHCADP_00850,FKLDPHGP_00316
trmD,trmD,tRNA (guanine-N(1)-)-methyltransferase,2,2,1.0,7,242,,,,723,723,723.0,DLKHCADP_00430,FKLDPHGP_00261
treR,treR,HTH-type transcriptional regulator TreR,2,2,1.0,7,241,,,,726,726,726.0,DLKHCADP_01926,FKLDPHGP_00133
pyrH,pyrH,Uridylate kinase,2,2,1.0,7,240,,,,726,726,726.0,DLKHCADP_00445,FKLDPHGP_00277
gmuR_2,gmuR_2,HTH-type transcriptional regulator GmuR,2,2,1.0,7,239,,,,729,729,729.0,DLKHCADP_00934,FKLDPHGP_00158
artM,artM,Arginine transport ATP-binding protein ArtM,2,2,1.0,7,238,,,,735,735,735.0,DLKHCADP_00946,FKLDPHGP_00144
scpA,scpA,Segregation and condensation protein A,2,2,1.0,7,236,,,,744,744,744.0,DLKHCADP_00729,FKLDPHGP_00360
group_430,,hypothetical protein,2,2,1.0,7,234,,,,747,747,747.0,DLKHCADP_00732,FKLDPHGP_00363
glnQ_3,glnQ_3,Glutamine transport ATP-binding protein GlnQ,2,2,1.0,7,232,,,,750,750,750.0,DLKHCADP_01932,FKLDPHGP_00127
prpC,prpC,Protein phosphatase PrpC,2,2,1.0,7,231,,,,753,753,753.0,DLKHCADP_00678,FKLDPHGP_00236
pstB3_2,pstB3_2,Phosphate import ATP-binding protein PstB 3,2,2,1.0,7,230,,,,756,756,756.0,DLKHCADP_00926,FKLDPHGP_00150
lacR_3,lacR_3,Lactose phosphotransferase system repressor,2,2,1.0,7,229,,,,765,765,765.0,DLKHCADP_01916,FKLDPHGP_00089
group_427,,Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase,2,2,1.0,7,227,,,,771,771,771.0,DLKHCADP_00566,FKLDPHGP_00190
glcR_1,glcR_1,HTH-type transcriptional repressor GlcR,2,2,1.0,7,226,,,,780,780,780.0,DLKHCADP_00936,FKLDPHGP_00160
rpsB,rpsB,Small ribosomal subunit protein uS2,2,2,1.0,7,224,,,,786,786,786.0,DLKHCADP_00443,FKLDPHGP_00275
group_425,,hypothetical protein,2,2,1.0,7,223,,,,792,792,792.0,DLKHCADP_00448,FKLDPHGP_00280
group_424,,hypothetical protein,2,2,1.0,7,222,,,,795,795,795.0,DLKHCADP_00938,FKLDPHGP_00135
group_423,,putative oxidoreductase,2,2,1.0,7,221,,,,795,795,795.0,DLKHCADP_00750,FKLDPHGP_00348
sorA_4,sorA_4,PTS system sorbose-specific EIIC component,2,2,1.0,7,220,,,,798,798,798.0,DLKHCADP_01946,FKLDPHGP_00114
pstB3_1,pstB3_1,Phosphate import ATP-binding protein PstB 3,2,2,1.0,7,219,,,,801,801,801.0,DLKHCADP_00925,FKLDPHGP_00149
group_422,,hypothetical protein,2,2,1.0,7,218,,,,807,807,807.0,DLKHCADP_00741,FKLDPHGP_00339
tlyA,tlyA,16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA,2,2,1.0,7,216,,,,813,813,813.0,DLKHCADP_00670,FKLDPHGP_00228
glnH_2,glnH_2,ABC transporter glutamine-binding protein GlnH,2,2,1.0,7,215,,,,822,822,822.0,DLKHCADP_01933,FKLDPHGP_00126
glnH_1,glnH_1,ABC transporter glutamine-binding protein GlnH,2,2,1.0,7,214,,,,825,825,825.0,DLKHCADP_01931,FKLDPHGP_00128
map,map,Methionine aminopeptidase 1,2,2,1.0,7,213,,,,825,825,825.0,DLKHCADP_00551,FKLDPHGP_00175
pdxK,pdxK,Pyridoxine/pyridoxal/pyridoxamine kinase,2,2,1.0,7,212,,,,828,828,828.0,DLKHCADP_00653,FKLDPHGP_00211
manZ_6,manZ_6,PTS system mannose-specific EIID component,2,2,1.0,7,211,,,,834,834,834.0,DLKHCADP_01945,FKLDPHGP_00115
group_420,,hypothetical protein,2,2,1.0,7,210,,,,834,834,834.0,DLKHCADP_00554,FKLDPHGP_00178
bglG,bglG,Cryptic beta-glucoside bgl operon antiterminator,2,2,1.0,7,209,,,,840,840,840.0,DLKHCADP_01908,FKLDPHGP_00097
