Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Lactobacillus_paragasseri__UMB0056__GCA_002884735.1,Lactobacillus_paragasseri__UMB5640__GCA_030216965.1,Lactobacillus_paragasseri__UMB6357__GCA_030216895.1
rplB,rplB,Large ribosomal subunit protein uL2,3,3,1.0,8,134,,,,837,837,837.0,CHONFCMC_01476,KGGMHOKE_01251,JPPLDLFD_01778
purR_2,purR_2,Purine biosynthesis transcriptional repressor PurR,3,3,1.0,8,133,,,,837,837,837.0,CHONFCMC_01396,KGGMHOKE_01623,JPPLDLFD_01700
walK,walK,Sensor histidine kinase WalK,3,3,1.0,8,132,,,,1851,1851,1851.0,CHONFCMC_01241,KGGMHOKE_01942,JPPLDLFD_00617
lacF_2,lacF_2,PTS system lactose-specific EIIA component,3,3,1.0,8,131,,,,360,360,360.0,CHONFCMC_01527,KGGMHOKE_01199,JPPLDLFD_01827
rplR,rplR,Large ribosomal subunit protein uL18,3,3,1.0,8,130,,,,360,360,360.0,CHONFCMC_01489,KGGMHOKE_01238,JPPLDLFD_01791
agaA_1,agaA_1,N-acetylgalactosamine-6-phosphate deacetylase,3,3,1.0,8,129,,,,1158,1158,1158.0,CHONFCMC_01296,KGGMHOKE_01890,JPPLDLFD_01879
acpS,acpS,Holo-[acyl-carrier-protein] synthase,3,3,1.0,8,128,,,,360,360,360.0,CHONFCMC_01448,KGGMHOKE_01279,JPPLDLFD_01750
group_698,,hypothetical protein,3,3,1.0,8,127,,,,612,612,612.0,CHONFCMC_01385,KGGMHOKE_01633,JPPLDLFD_01690
group_697,,hypothetical protein,3,3,1.0,8,126,,,,840,840,840.0,CHONFCMC_01285,KGGMHOKE_01901,JPPLDLFD_01890
group_696,,hypothetical protein,3,3,1.0,8,125,,,,1884,1884,1884.0,CHONFCMC_01342,KGGMHOKE_01678,JPPLDLFD_01835
agaS,agaS,D-galactosamine-6-phosphate deaminase AgaS,3,3,1.0,8,124,,,,1167,1167,1167.0,CHONFCMC_01295,KGGMHOKE_01891,JPPLDLFD_01880
group_695,,hypothetical protein,3,3,1.0,8,123,,,,363,363,363.0,CHONFCMC_01279,KGGMHOKE_01906,JPPLDLFD_00581
group_694,,hypothetical protein,3,3,1.0,8,122,,,,363,363,363.0,CHONFCMC_01266,KGGMHOKE_01918,JPPLDLFD_00593
rplN,rplN,Large ribosomal subunit protein uL14,3,3,1.0,8,120,,,,369,369,369.0,CHONFCMC_01483,KGGMHOKE_01244,JPPLDLFD_01785
rplD,rplD,Large ribosomal subunit protein uL4,3,3,1.0,8,119,,,,618,618,618.0,CHONFCMC_01474,KGGMHOKE_01253,JPPLDLFD_01776
group_692,,hypothetical protein,3,3,1.0,8,118,,,,1932,1932,1932.0,CHONFCMC_01330,KGGMHOKE_01691,JPPLDLFD_01846
group_691,,hypothetical protein,3,3,1.0,8,117,,,,621,621,621.0,CHONFCMC_01367,KGGMHOKE_01652,JPPLDLFD_01672
plsY_2,plsY_2,Glycerol-3-phosphate acyltransferase,3,3,1.0,8,116,,,,621,621,621.0,CHONFCMC_01359,KGGMHOKE_01660,JPPLDLFD_01663
group_690,,hypothetical protein,3,3,1.0,8,115,,,,1182,1182,1182.0,CHONFCMC_01433,KGGMHOKE_01295,JPPLDLFD_01735
pepO_3,pepO_3,Neutral endopeptidase,3,3,1.0,8,114,,,,1950,1950,1950.0,CHONFCMC_01332,KGGMHOKE_01690,JPPLDLFD_01844
asnB,asnB,Asparagine synthetase [glutamine-hydrolyzing] 1,3,3,1.0,8,113,,,,1950,1950,1950.0,CHONFCMC_01316,KGGMHOKE_01870,JPPLDLFD_01859
rpmJ,rpmJ,Large ribosomal subunit protein bL36,3,3,1.0,8,111,,,,117,117,117.0,CHONFCMC_01496,KGGMHOKE_01231,JPPLDLFD_01798
ecfA1,ecfA1,Energy-coupling factor transporter ATP-binding protein EcfA1,3,3,1.0,8,110,,,,849,849,849.0,CHONFCMC_01501,KGGMHOKE_01226,JPPLDLFD_01803
group_688,,hypothetical protein,3,3,1.0,8,109,,,,156,156,156.0,CHONFCMC_01421,KGGMHOKE_01307,JPPLDLFD_01724
ftsL_2,ftsL_2,Cell division protein FtsL,3,3,1.0,8,108,,,,378,378,378.0,CHONFCMC_01455,KGGMHOKE_01272,JPPLDLFD_01757
metG,metG,Methionine--tRNA ligase,3,3,1.0,8,107,,,,1977,1977,1977.0,CHONFCMC_01391,KGGMHOKE_01628,JPPLDLFD_01695
kup_2,kup_2,Low affinity potassium transport system protein Kup,3,3,1.0,8,106,,,,1998,1998,1998.0,CHONFCMC_01337,KGGMHOKE_01684,JPPLDLFD_01840
group_687,,hypothetical protein,3,3,1.0,8,105,,,,132,132,132.0,CHONFCMC_01334,1_refound_5,2_refound_7
group_686,,Putative 3-methyladenine DNA glycosylase,3,3,1.0,8,104,,,,627,627,627.0,CHONFCMC_01265,KGGMHOKE_01919,JPPLDLFD_00594
bglH_4~~~bglH_2,bglH_4;bglH_2,Aryl-phospho-beta-D-glucosidase BglH,3,3,1.0,8,103,,,,1380,1380,1380.0,CHONFCMC_01381,KGGMHOKE_01637,JPPLDLFD_01686
group_685,,hypothetical protein,3,3,1.0,8,102,,,,717,717,717.0,CHONFCMC_01435,KGGMHOKE_01292,JPPLDLFD_01737
rplQ,rplQ,Large ribosomal subunit protein bL17,3,3,1.0,8,101,,,,384,384,384.0,CHONFCMC_01500,KGGMHOKE_01227,JPPLDLFD_01802
rplC,rplC,Large ribosomal subunit protein uL3,3,3,1.0,8,100,,,,630,630,630.0,CHONFCMC_01473,KGGMHOKE_01254,JPPLDLFD_01775
group_684,,hypothetical protein,3,3,1.0,8,99,,,,384,384,384.0,CHONFCMC_01365,KGGMHOKE_01654,JPPLDLFD_01670
group_683,,hypothetical protein,3,3,1.0,8,98,,,,141,141,141.0,CHONFCMC_01256,KGGMHOKE_01928,JPPLDLFD_00603
kup_1,kup_1,Low affinity potassium transport system protein Kup,3,3,1.0,8,97,,,,2052,2052,2052.0,CHONFCMC_01336,KGGMHOKE_01685,JPPLDLFD_01841
rpsK,rpsK,Small ribosomal subunit protein uS11,3,3,1.0,8,96,,,,390,390,390.0,CHONFCMC_01498,KGGMHOKE_01229,JPPLDLFD_01800
group_682,,hypothetical protein,3,3,1.0,8,95,,,,390,390,390.0,CHONFCMC_01318,KGGMHOKE_01704,JPPLDLFD_01857
group_681,,hypothetical protein,3,3,1.0,8,94,,,,1077,1086,1080.0,CHONFCMC_01302,KGGMHOKE_01884,JPPLDLFD_01873
group_680,,hypothetical protein,3,3,1.0,8,93,,,,147,147,147.0,CHONFCMC_01258,KGGMHOKE_01926,JPPLDLFD_00601
group_679,,hypothetical protein,3,3,1.0,8,92,,,,930,1008,981.0,CHONFCMC_01420,KGGMHOKE_01308,JPPLDLFD_01723
ganQ,ganQ,Galactooligosaccharides transport system permease protein GanQ,3,3,1.0,8,91,,,,858,858,858.0,CHONFCMC_01407,KGGMHOKE_01319,JPPLDLFD_01711
fusA,fusA,elongation factor G FusA,3,3,1.0,8,90,,,,2097,2097,2097.0,CHONFCMC_01471,KGGMHOKE_01256,JPPLDLFD_01773
xylB,xylB,Xylulose kinase,3,3,1.0,8,89,,,,1509,1509,1509.0,CHONFCMC_01532,KGGMHOKE_01194,JPPLDLFD_01832
ftsH,ftsH,ATP-dependent zinc metalloprotease FtsH,3,3,1.0,8,88,,,,2127,2127,2127.0,CHONFCMC_01458,KGGMHOKE_01269,JPPLDLFD_01760
rpsI,rpsI,Small ribosomal subunit protein uS9,3,3,1.0,8,87,,,,396,396,396.0,CHONFCMC_01506,KGGMHOKE_01221,JPPLDLFD_01808
ganS,ganS,Galactooligosaccharide-binding protein,3,3,1.0,8,86,,,,1218,1218,1218.0,CHONFCMC_01405,KGGMHOKE_01321,JPPLDLFD_01709
group_678,,hypothetical protein,3,3,1.0,8,85,,,,249,249,249.0,CHONFCMC_01377,KGGMHOKE_01641,JPPLDLFD_01683
mdtH,mdtH,Multidrug resistance protein MdtH,3,3,1.0,8,84,,,,1218,1218,1218.0,CHONFCMC_01325,KGGMHOKE_01696,JPPLDLFD_01851
group_677,,hypothetical protein,3,3,1.0,8,83,,,,861,861,861.0,CHONFCMC_01257,KGGMHOKE_01927,JPPLDLFD_00602
rpsH,rpsH,Small ribosomal subunit protein uS8,3,3,1.0,8,82,,,,399,399,399.0,CHONFCMC_01487,KGGMHOKE_01240,JPPLDLFD_01789
htrA,htrA,Serine protease Do-like HtrA,3,3,1.0,8,81,,,,1221,1221,1221.0,CHONFCMC_01245,KGGMHOKE_01938,JPPLDLFD_00613
nrdD,nrdD,Anaerobic ribonucleoside-triphosphate reductase,3,3,1.0,8,80,,,,2211,2211,2211.0,CHONFCMC_01319,KGGMHOKE_01703,JPPLDLFD_01856
group_676,,hypothetical protein,3,3,1.0,8,79,,,,399,399,399.0,CHONFCMC_01300,KGGMHOKE_01886,JPPLDLFD_01875
yfbR,yfbR,5'-deoxynucleotidase YfbR,3,3,1.0,8,78,,,,645,645,645.0,CHONFCMC_01261,KGGMHOKE_01923,JPPLDLFD_00598
licT_2,licT_2,Transcription antiterminator LicT,3,3,1.0,8,77,,,,864,864,864.0,CHONFCMC_01526,KGGMHOKE_01200,JPPLDLFD_01826
glcU_2,glcU_2,Glucose uptake protein GlcU,3,3,1.0,8,76,,,,864,864,864.0,CHONFCMC_01356,KGGMHOKE_01663,JPPLDLFD_01660
qorB,qorB,Quinone oxidoreductase 2,3,3,1.0,8,75,,,,867,867,867.0,CHONFCMC_01510,KGGMHOKE_01216,JPPLDLFD_01810
ecfA2,ecfA2,Energy-coupling factor transporter ATP-binding protein EcfA2,3,3,1.0,8,74,,,,867,867,867.0,CHONFCMC_01502,KGGMHOKE_01225,JPPLDLFD_01804
malP,malP,Maltose phosphorylase,3,3,1.0,8,73,,,,2271,2271,2271.0,CHONFCMC_01402,KGGMHOKE_01324,JPPLDLFD_01706
rpsL,rpsL,Small ribosomal subunit protein uS12,3,3,1.0,8,72,,,,408,408,408.0,CHONFCMC_01469,KGGMHOKE_01258,JPPLDLFD_01771
group_675,,hypothetical protein,3,3,1.0,8,71,,,,663,663,663.0,CHONFCMC_01383,KGGMHOKE_01635,JPPLDLFD_01688
group_673,,hypothetical protein,3,3,1.0,8,69,,,,411,411,411.0,CHONFCMC_01255,KGGMHOKE_01929,JPPLDLFD_00604
glyA,glyA,Serine hydroxymethyltransferase,3,3,1.0,8,68,,,,1236,1236,1236.0,CHONFCMC_01439,KGGMHOKE_01288,JPPLDLFD_01741
hslO,hslO,33 kDa chaperonin,3,3,1.0,8,67,,,,876,876,876.0,CHONFCMC_01460,KGGMHOKE_01267,JPPLDLFD_01762
adk,adk,Adenylate kinase,3,3,1.0,8,65,,,,654,654,654.0,CHONFCMC_01494,KGGMHOKE_01233,JPPLDLFD_01796
rpmD,rpmD,Large ribosomal subunit protein uL30,3,3,1.0,8,64,,,,183,183,183.0,CHONFCMC_01491,KGGMHOKE_01236,JPPLDLFD_01793
yedJ,yedJ,putative protein YedJ,3,3,1.0,8,63,,,,654,654,654.0,CHONFCMC_01364,KGGMHOKE_01655,JPPLDLFD_01669
group_671,,hypothetical protein,3,3,1.0,8,62,,,,654,654,654.0,CHONFCMC_01247,KGGMHOKE_01936,JPPLDLFD_00611
lacX_2,lacX_2,Protein LacX plasmid,3,3,1.0,8,60,,,,882,882,882.0,CHONFCMC_01357,KGGMHOKE_01662,JPPLDLFD_01661
clpC,clpC,Negative regulator of genetic competence ClpC/MecB,3,3,1.0,8,59,,,,2469,2469,2469.0,CHONFCMC_01465,KGGMHOKE_01262,JPPLDLFD_01767
group_669,,hypothetical protein,3,3,1.0,8,58,,,,420,420,420.0,CHONFCMC_01338,KGGMHOKE_01683,JPPLDLFD_01839
group_668,,hypothetical protein,3,4,1.3333333333333333,8,57,,,,675,2415,1803.75,CHONFCMC_01343,KGGMHOKE_01677;KGGMHOKE_01676,JPPLDLFD_01834
czcD,czcD,Cadmium cobalt and zinc/H(+)-K(+) antiporter,3,3,1.0,8,56,,,,885,885,885.0,CHONFCMC_01514,KGGMHOKE_01212,JPPLDLFD_01814
rpsZ,rpsZ,Small ribosomal subunit protein uS14,3,3,1.0,8,55,,,,186,186,186.0,CHONFCMC_01486,KGGMHOKE_01241,JPPLDLFD_01788
slmA,slmA,Nucleoid occlusion factor SlmA,3,3,1.0,8,54,,,,660,660,660.0,CHONFCMC_01284,KGGMHOKE_01902,JPPLDLFD_01891
tyrS,tyrS,Tyrosine--tRNA ligase,3,3,1.0,8,53,,,,1263,1263,1263.0,CHONFCMC_01361,KGGMHOKE_01658,JPPLDLFD_01666
murA1,murA1,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,3,3,1.0,8,52,,,,1266,1266,1266.0,CHONFCMC_01413,KGGMHOKE_01313,JPPLDLFD_01717
group_667,,hypothetical protein,3,3,1.0,8,51,,,,423,423,423.0,CHONFCMC_01410,KGGMHOKE_01316,JPPLDLFD_01714
group_666,,hypothetical protein,3,3,1.0,8,50,,,,423,423,423.0,CHONFCMC_01349,KGGMHOKE_01670,JPPLDLFD_01652
yvdM_2,yvdM_2,Beta-phosphoglucomutase,3,3,1.0,8,49,,,,663,663,663.0,CHONFCMC_01403,KGGMHOKE_01323,JPPLDLFD_01707
group_665,,hypothetical protein,3,3,1.0,8,48,,,,192,192,192.0,0_refound_4,1_refound_6,JPPLDLFD_01728
bioH,bioH,Pimeloyl-[acyl-carrier protein] methyl ester esterase,3,3,1.0,8,47,,,,663,663,663.0,CHONFCMC_01278,KGGMHOKE_01907,JPPLDLFD_00582
rsmA,rsmA,Ribosomal RNA small subunit methyltransferase A,3,3,1.0,8,46,,,,891,891,891.0,CHONFCMC_01394,KGGMHOKE_01625,JPPLDLFD_01698
htpX,htpX,Protease HtpX,3,3,1.0,8,45,,,,891,891,891.0,CHONFCMC_01251,KGGMHOKE_01932,JPPLDLFD_00607
group_664,,hypothetical protein,3,3,1.0,8,44,,,,2712,2712,2712.0,CHONFCMC_01459,KGGMHOKE_01268,JPPLDLFD_01761
group_663,,hypothetical protein,3,4,1.3333333333333333,8,42,,,,336,708,527.25,CHONFCMC_01273;CHONFCMC_01272,KGGMHOKE_01912,JPPLDLFD_00587
rpmC,rpmC,Large ribosomal subunit protein uL29,3,3,1.0,8,41,,,,198,198,198.0,CHONFCMC_01481,KGGMHOKE_01246,JPPLDLFD_01783
rpsC,rpsC,Small ribosomal subunit protein uS3,3,3,1.0,8,40,,,,669,669,669.0,CHONFCMC_01479,KGGMHOKE_01248,JPPLDLFD_01781
secY_2,secY_2,Protein translocase subunit SecY,3,3,1.0,8,37,,,,1296,1296,1296.0,CHONFCMC_01493,KGGMHOKE_01234,JPPLDLFD_01795
rplP,rplP,Large ribosomal subunit protein uL16,3,3,1.0,8,36,,,,438,438,438.0,CHONFCMC_01480,KGGMHOKE_01247,JPPLDLFD_01782
tilS,tilS,tRNA(Ile)-lysidine synthase,3,3,1.0,8,35,,,,1296,1296,1296.0,CHONFCMC_01457,KGGMHOKE_01270,JPPLDLFD_01759
group_661,,hypothetical protein,3,3,1.0,8,34,,,,438,438,438.0,CHONFCMC_01353,KGGMHOKE_01666,JPPLDLFD_01657
group_660,,hypothetical protein,3,3,1.0,8,33,,,,375,402,393.0,CHONFCMC_01301,KGGMHOKE_01885,JPPLDLFD_01874
group_659,,hypothetical protein,3,3,1.0,8,32,,,,900,900,900.0,CHONFCMC_01442,KGGMHOKE_01285,JPPLDLFD_01744
group_658,,hypothetical protein,3,3,1.0,8,31,,,,3060,3060,3060.0,CHONFCMC_01293,KGGMHOKE_01893,JPPLDLFD_01882
rplO,rplO,Large ribosomal subunit protein uL15,3,3,1.0,8,30,,,,441,441,441.0,CHONFCMC_01492,KGGMHOKE_01235,JPPLDLFD_01794
group_656,,hypothetical protein,3,3,1.0,8,28,,,,678,678,678.0,CHONFCMC_01468,KGGMHOKE_01259,JPPLDLFD_01770
mfd,mfd,Transcription-repair-coupling factor,3,3,1.0,8,27,,,,3498,3498,3498.0,CHONFCMC_01453,KGGMHOKE_01274,JPPLDLFD_01755
group_655,,hypothetical protein,3,3,1.0,8,26,,,,267,276,270.0,CHONFCMC_01434,KGGMHOKE_01294,JPPLDLFD_01736
oxc_2~~~oxc_1~~~oxc,oxc_2;oxc_1;oxc,Oxalyl-CoA decarboxylase,3,5,1.6666666666666667,8,25,,,,441,1737,1021.8,CHONFCMC_01432,KGGMHOKE_01297;KGGMHOKE_01296,JPPLDLFD_01733;JPPLDLFD_01734
group_654,,hypothetical protein,3,3,1.0,8,24,,,,210,210,210.0,CHONFCMC_01340,KGGMHOKE_01680,JPPLDLFD_01837
group_653,,hypothetical protein,3,3,1.0,8,23,,,,1308,1308,1308.0,CHONFCMC_01259,KGGMHOKE_01925,JPPLDLFD_00600
group_652,,hypothetical protein,3,3,1.0,8,22,,,,681,681,681.0,CHONFCMC_01450,KGGMHOKE_01277,JPPLDLFD_01752
group_651,,hypothetical protein,3,3,1.0,8,21,,,,6012,12648,9258.0,CHONFCMC_01324,KGGMHOKE_01697,JPPLDLFD_01852
rpoB,rpoB,DNA-directed RNA polymerase subunit beta RpoB,3,3,1.0,8,20,,,,3615,3615,3615.0,CHONFCMC_01466,KGGMHOKE_01261,JPPLDLFD_01768
pepE_3,pepE_3,Aminopeptidase E,3,3,1.0,8,19,,,,1311,1311,1311.0,CHONFCMC_01366,KGGMHOKE_01653,JPPLDLFD_01671
agaA_1~~~agaA_2,agaA_1;agaA_2,Alpha-galactosidase AgaA,3,3,1.0,8,18,,,,2232,2232,2232.0,CHONFCMC_01440,KGGMHOKE_01287,JPPLDLFD_01742
rpoC,rpoC,DNA-directed RNA polymerase subunit beta RpoC,3,3,1.0,8,17,,,,3672,3672,3672.0,CHONFCMC_01467,KGGMHOKE_01260,JPPLDLFD_01769
mrnC,mrnC,Mini-ribonuclease 3,3,3,1.0,8,16,,,,444,444,444.0,CHONFCMC_01524,KGGMHOKE_01202,JPPLDLFD_01824
rplM,rplM,Large ribosomal subunit protein uL13,3,3,1.0,8,15,,,,444,444,444.0,CHONFCMC_01505,KGGMHOKE_01222,JPPLDLFD_01807
pepE_2~~~pepE_3,pepE_2;pepE_3,Aminopeptidase E,3,3,1.0,8,14,,,,1314,1314,1314.0,CHONFCMC_01363,KGGMHOKE_01656,JPPLDLFD_01668
menA_2,menA_2,14-dihydroxy-2-naphthoate octaprenyltransferase,3,3,1.0,8,13,,,,912,912,912.0,CHONFCMC_01428,KGGMHOKE_01301,JPPLDLFD_01729
group_650,,hypothetical protein,3,3,1.0,8,12,,,,219,219,219.0,CHONFCMC_01531,KGGMHOKE_01195,JPPLDLFD_01831
gpmA_3,gpmA_3,23-bisphosphoglycerate-dependent phosphoglycerate mutase,3,3,1.0,8,11,,,,690,690,690.0,CHONFCMC_01512,KGGMHOKE_01214,JPPLDLFD_01812
group_649,,hypothetical protein,3,3,1.0,8,10,,,,918,918,918.0,CHONFCMC_01298,KGGMHOKE_01888,JPPLDLFD_01877
infA,infA,Translation initiation factor IF-1,3,3,1.0,8,9,,,,222,222,222.0,CHONFCMC_01495,KGGMHOKE_01232,JPPLDLFD_01797
pucK,pucK,Uric acid permease PucK,3,3,1.0,8,8,,,,1329,1329,1329.0,CHONFCMC_01415,KGGMHOKE_01312,JPPLDLFD_01718
bglK~~~bglK_1,bglK;bglK_1,Beta-glucoside kinase,3,3,1.0,8,7,,,,861,861,861.0,CHONFCMC_01382,KGGMHOKE_01636,JPPLDLFD_01687
group_648,,Acid shock protein,3,3,1.0,8,6,,,,450,450,450.0,CHONFCMC_01369,KGGMHOKE_01650,JPPLDLFD_01674
group_647,,hypothetical protein,3,3,1.0,8,5,,,,1329,1329,1329.0,CHONFCMC_01242,KGGMHOKE_01941,JPPLDLFD_00616
gpmA_2,gpmA_2,23-bisphosphoglycerate-dependent phosphoglycerate mutase,3,3,1.0,8,4,,,,693,693,693.0,CHONFCMC_01350,KGGMHOKE_01669,JPPLDLFD_01653
group_646,,D-aspartate ligase,3,3,1.0,8,3,,,,1332,1332,1332.0,CHONFCMC_01317,KGGMHOKE_01869,JPPLDLFD_01858
group_645,,hypothetical protein,3,3,1.0,8,2,,,,498,498,498.0,CHONFCMC_01371,KGGMHOKE_01648,JPPLDLFD_01676
yydK,yydK,putative HTH-type transcriptional regulator YydK,3,3,1.0,8,1,,,,699,699,699.0,CHONFCMC_01373,KGGMHOKE_01646,JPPLDLFD_01678
sapB,sapB,Protein SapB,3,3,1.0,7,186,,,,702,702,702.0,CHONFCMC_01194,KGGMHOKE_01860,JPPLDLFD_00046
group_644,,hypothetical protein,3,3,1.0,7,185,,,,186,186,186.0,CHONFCMC_01206,KGGMHOKE_00229,JPPLDLFD_00033
rplI,rplI,Large ribosomal subunit protein bL9,3,3,1.0,7,184,,,,456,456,456.0,CHONFCMC_01189,KGGMHOKE_01855,JPPLDLFD_00051
group_643,,hypothetical protein,3,3,1.0,7,183,,,,1347,1347,1347.0,CHONFCMC_01232,KGGMHOKE_00200,JPPLDLFD_00007
group_642,,hypothetical protein,3,3,1.0,7,182,,,,927,927,927.0,CHONFCMC_01208,KGGMHOKE_00223,JPPLDLFD_00030
yfnB,yfnB,Putative HAD-hydrolase YfnB,3,3,1.0,7,181,,,,708,708,708.0,CHONFCMC_01204,KGGMHOKE_00231,JPPLDLFD_00035
menA_1,menA_1,14-dihydroxy-2-naphthoate octaprenyltransferase,3,3,1.0,7,180,,,,927,927,927.0,CHONFCMC_01116,KGGMHOKE_00323,JPPLDLFD_01605
pbpX_2,pbpX_2,Putative penicillin-binding protein PbpX,3,3,1.0,7,179,,,,927,927,927.0,CHONFCMC_01085,KGGMHOKE_00240,JPPLDLFD_01639
rpsR,rpsR,Small ribosomal subunit protein bS18,3,3,1.0,7,178,,,,237,237,237.0,CHONFCMC_01186,KGGMHOKE_01852,JPPLDLFD_00054
group_641,,hypothetical protein,3,3,1.0,7,177,,,,288,288,288.0,CHONFCMC_01154,KGGMHOKE_01819,JPPLDLFD_01559
group_640,,hypothetical protein,3,3,1.0,7,176,,,,237,237,237.0,CHONFCMC_01083,KGGMHOKE_00238,JPPLDLFD_01641
group_638,,hypothetical protein,3,3,1.0,7,174,,,,1356,1356,1356.0,CHONFCMC_01231,KGGMHOKE_00201,JPPLDLFD_00009
group_637,,hypothetical protein,3,3,1.0,7,173,,,,240,240,240.0,CHONFCMC_01117,KGGMHOKE_00322,JPPLDLFD_01604
dltC,dltC,D-alanyl carrier protein,3,3,1.0,7,172,,,,240,240,240.0,CHONFCMC_01087,KGGMHOKE_00242,JPPLDLFD_01637
phnD2_1,phnD2_1,putative ABC transporter phosphonate/phosphite binding protein PhnD2,3,3,1.0,7,171,,,,933,933,933.0,CHONFCMC_01121,KGGMHOKE_00318,JPPLDLFD_01600
menG,menG,Demethylmenaquinone methyltransferase,3,3,1.0,7,170,,,,714,714,714.0,CHONFCMC_01227,KGGMHOKE_00205,JPPLDLFD_00013
brnQ_3,brnQ_3,Branched-chain amino acid permease BrnQ,3,3,1.0,7,169,,,,1365,1365,1365.0,CHONFCMC_01226,KGGMHOKE_00206,JPPLDLFD_00014
dnaA,dnaA,Chromosomal replication initiator protein DnaA,3,3,1.0,7,168,,,,1365,1365,1365.0,CHONFCMC_01178,KGGMHOKE_01844,JPPLDLFD_00062
dnaB_2,dnaB_2,Replicative DNA helicase DnaB,3,3,1.0,7,167,,,,1374,1374,1374.0,CHONFCMC_01190,KGGMHOKE_01856,JPPLDLFD_00050
nagB,nagB,Glucosamine-6-phosphate deaminase,3,3,1.0,7,166,,,,720,720,720.0,CHONFCMC_01135,KGGMHOKE_01793,JPPLDLFD_01585
group_636,,hypothetical protein,3,3,1.0,7,164,,,,951,951,951.0,CHONFCMC_01235,KGGMHOKE_00197,JPPLDLFD_00004
gspA,gspA,General stress protein A,3,3,1.0,7,163,,,,951,951,951.0,CHONFCMC_01234,KGGMHOKE_00198,JPPLDLFD_00005
bsh,bsh,Conjugated bile acid hydrolase,3,3,1.0,7,162,,,,951,951,951.0,CHONFCMC_01230,KGGMHOKE_00202,JPPLDLFD_00010
ykfB,ykfB,L-Ala-D/L-Glu epimerase,3,3,1.0,7,161,,,,1056,1056,1056.0,CHONFCMC_01129,KGGMHOKE_00310,JPPLDLFD_01592
mnmE,mnmE,tRNA modification GTPase MnmE,3,3,1.0,7,160,,,,1386,1386,1386.0,CHONFCMC_01174,KGGMHOKE_01840,JPPLDLFD_00066
gnd,gnd,6-phosphogluconate dehydrogenase decarboxylating,3,3,1.0,7,158,,,,1389,1389,1389.0,CHONFCMC_01171,KGGMHOKE_01837,JPPLDLFD_00069
darB,darB,Cyclic di-AMP receptor B,3,3,1.0,7,157,,,,489,489,489.0,CHONFCMC_01095,KGGMHOKE_00253,JPPLDLFD_01626
appC,appC,Cytochrome bd-II ubiquinol oxidase subunit 1,3,3,1.0,7,155,,,,1392,1392,1392.0,CHONFCMC_01112,KGGMHOKE_00327,JPPLDLFD_01609
group_634,,hypothetical protein,3,4,1.3333333333333333,7,154,,,,204,732,489.0,CHONFCMC_01130,KGGMHOKE_00309,JPPLDLFD_01590;JPPLDLFD_01591
group_633,,hypothetical protein,3,3,1.0,7,153,,,,267,267,267.0,CHONFCMC_01210,KGGMHOKE_00221,JPPLDLFD_00028
bcaP_1,bcaP_1,Branched-chain amino acid permease BcaP,3,3,1.0,7,152,,,,1401,1401,1401.0,CHONFCMC_01079,KGGMHOKE_00234,JPPLDLFD_01645
group_632,,hypothetical protein,3,3,1.0,7,150,,,,273,273,273.0,CHONFCMC_01119,KGGMHOKE_00320,JPPLDLFD_01602
yagU,yagU,Inner membrane protein YagU,3,3,1.0,7,147,,,,510,510,510.0,CHONFCMC_01108,KGGMHOKE_00266,JPPLDLFD_01613
group_631,,hypothetical protein,3,3,1.0,7,146,,,,519,519,519.0,CHONFCMC_01198,KGGMHOKE_01864,JPPLDLFD_00042
gatC_4,gatC_4,PTS system galactitol-specific EIIC component,3,3,1.0,7,144,,,,1455,1455,1455.0,CHONFCMC_01107,KGGMHOKE_00265,JPPLDLFD_01614
ssb,ssb,Single-stranded DNA-binding protein,3,3,1.0,7,143,,,,519,519,519.0,CHONFCMC_01185,KGGMHOKE_01851,JPPLDLFD_00055
group_628,,hypothetical protein,3,3,1.0,7,141,,,,1260,1260,1260.0,CHONFCMC_01168,KGGMHOKE_01834,JPPLDLFD_00072
yfcA,yfcA,putative membrane transporter protein YfcA,3,3,1.0,7,140,,,,762,762,762.0,CHONFCMC_01132,KGGMHOKE_00307,JPPLDLFD_01588
ycaM_4,ycaM_4,Inner membrane transporter YcaM,3,3,1.0,7,139,,,,1485,1485,1485.0,CHONFCMC_01158,KGGMHOKE_01823,JPPLDLFD_01557
group_627,,hypothetical protein,3,3,1.0,7,138,,,,288,288,288.0,CHONFCMC_01091,KGGMHOKE_00246,JPPLDLFD_01633
dltA,dltA,D-alanine--D-alanyl carrier protein ligase,3,3,1.0,7,137,,,,1509,1509,1509.0,CHONFCMC_01089,KGGMHOKE_00244,JPPLDLFD_01635
ppaX,ppaX,Pyrophosphatase PpaX,3,3,1.0,7,136,,,,549,627,601.0,CHONFCMC_01196,KGGMHOKE_01862,JPPLDLFD_00044
group_626,,D-lactate dehydrogenase,3,3,1.0,7,135,,,,1014,1014,1014.0,CHONFCMC_01219,KGGMHOKE_00212,JPPLDLFD_00019
clcA_1,clcA_1,H(+)/Cl(-) exchange transporter ClcA,3,3,1.0,7,134,,,,1521,1521,1521.0,CHONFCMC_01170,KGGMHOKE_01836,JPPLDLFD_00070
