group_706,,hypothetical protein,HJHFJAOG_00864,MLMIAKCI_01512,AOHABJFI_00944,LCPJMJGF_02067
group_704,,hypothetical protein,HJHFJAOG_00862,MLMIAKCI_00001,AOHABJFI_00946,LCPJMJGF_02065
degV_1,degV_1,Protein DegV,HJHFJAOG_00858,MLMIAKCI_00005,AOHABJFI_00950,LCPJMJGF_00879
group_703,,hypothetical protein,HJHFJAOG_00847,MLMIAKCI_01212,AOHABJFI_00961,LCPJMJGF_00865
pox5,pox5,Pyruvate oxidase,HJHFJAOG_01531,MLMIAKCI_01204,AOHABJFI_01946,LCPJMJGF_00857
ssb,ssb,Single-stranded DNA-binding protein,HJHFJAOG_00852,MLMIAKCI_01217,AOHABJFI_00956,LCPJMJGF_00870
mnmE,mnmE,tRNA modification GTPase MnmE,HJHFJAOG_01533,MLMIAKCI_01206,AOHABJFI_01948,LCPJMJGF_00859
rnpA,rnpA,Ribonuclease P protein component,HJHFJAOG_01535,MLMIAKCI_01208,AOHABJFI_01950,LCPJMJGF_00861
dnaB_2,dnaB_2,Replicative DNA helicase DnaB,HJHFJAOG_00856,MLMIAKCI_00203,AOHABJFI_00952,LCPJMJGF_00877
uup_15~~~uup_1,uup_15;uup_1,ATP-binding protein Uup,HJHFJAOG_00859,MLMIAKCI_00004,AOHABJFI_00949,LCPJMJGF_02062
rpsF,rpsF,Small ribosomal subunit protein bS6,HJHFJAOG_00851,MLMIAKCI_01216,AOHABJFI_00957,LCPJMJGF_00869
recF,recF,DNA replication and repair protein RecF,HJHFJAOG_00848,MLMIAKCI_01213,AOHABJFI_00960,LCPJMJGF_00866
mnmG,mnmG,tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG,HJHFJAOG_01532,MLMIAKCI_01205,AOHABJFI_01947,LCPJMJGF_00858
gndA,gndA,6-phosphogluconate dehydrogenase NADP(+)-dependent decarboxylating,HJHFJAOG_01529,MLMIAKCI_01202,AOHABJFI_01944,LCPJMJGF_00856
dnaN,dnaN,Beta sliding clamp,HJHFJAOG_01539,MLMIAKCI_01211,AOHABJFI_00962,LCPJMJGF_00864
rpsR,rpsR,Small ribosomal subunit protein bS18,HJHFJAOG_00853,MLMIAKCI_01218,AOHABJFI_00955,LCPJMJGF_00871
gyrA,gyrA,DNA gyrase subunit A GyrA,HJHFJAOG_00850,MLMIAKCI_01215,AOHABJFI_00958,LCPJMJGF_00868
gyrB,gyrB,DNA gyrase subunit B,HJHFJAOG_00849,MLMIAKCI_01214,AOHABJFI_00959,LCPJMJGF_00867
rpmH,rpmH,Large ribosomal subunit protein bL34,HJHFJAOG_01536,MLMIAKCI_01209,AOHABJFI_01951,LCPJMJGF_00862
gdpP,gdpP,Cyclic-di-AMP phosphodiesterase GdpP,HJHFJAOG_00854,MLMIAKCI_00205,AOHABJFI_00954,LCPJMJGF_00875
yidC2,yidC2,Membrane protein insertase YidC 2,HJHFJAOG_01534,MLMIAKCI_01207,AOHABJFI_01949,LCPJMJGF_00860
gmuE,gmuE,Putative fructokinase,HJHFJAOG_00860,MLMIAKCI_00003,AOHABJFI_00948,LCPJMJGF_02063
rplI,rplI,Large ribosomal subunit protein bL9,HJHFJAOG_00855,MLMIAKCI_00204,AOHABJFI_00953,LCPJMJGF_00876
group_688,,hypothetical protein,HJHFJAOG_00863,MLMIAKCI_01511,AOHABJFI_00945,LCPJMJGF_02066
group_687,,hypothetical protein,HJHFJAOG_01972,MLMIAKCI_00451,AOHABJFI_00764,LCPJMJGF_00981
group_685,,hypothetical protein,HJHFJAOG_01971,MLMIAKCI_00452,AOHABJFI_00765,LCPJMJGF_00980
hup_1,hup_1,DNA-binding protein HU,HJHFJAOG_00838,MLMIAKCI_00433,AOHABJFI_00745,LCPJMJGF_00999
yqgN,yqgN,putative protein YqgN,HJHFJAOG_00831,MLMIAKCI_00440,AOHABJFI_00752,LCPJMJGF_00992
glpE,glpE,Thiosulfate sulfurtransferase GlpE,HJHFJAOG_00828,MLMIAKCI_00443,AOHABJFI_00755,LCPJMJGF_00989
group_682,,hypothetical protein,HJHFJAOG_00837,MLMIAKCI_00434,AOHABJFI_00746,LCPJMJGF_00998
group_680,,hypothetical protein,HJHFJAOG_00842,MLMIAKCI_00429,AOHABJFI_00741,LCPJMJGF_01003
miaA,miaA,tRNA dimethylallyltransferase,HJHFJAOG_00827,MLMIAKCI_00444,AOHABJFI_00756,LCPJMJGF_00988
group_679,,hypothetical protein,HJHFJAOG_00834,MLMIAKCI_00437,AOHABJFI_00749,LCPJMJGF_00995
group_678,,hypothetical protein,HJHFJAOG_00829,MLMIAKCI_00442,AOHABJFI_00754,LCPJMJGF_00990
group_677,,hypothetical protein,HJHFJAOG_00824,MLMIAKCI_00447,AOHABJFI_00759,LCPJMJGF_00985
group_676,,hypothetical protein,HJHFJAOG_00843,MLMIAKCI_00428,AOHABJFI_00740,LCPJMJGF_01004
fepC,fepC,Ferric enterobactin transport ATP-binding protein FepC,HJHFJAOG_00839,MLMIAKCI_00432,AOHABJFI_00744,LCPJMJGF_01000
dppA_7,dppA_7,Dipeptide-binding protein,HJHFJAOG_01967,MLMIAKCI_00456,AOHABJFI_00769,LCPJMJGF_00978
group_675,,hypothetical protein,HJHFJAOG_00845,MLMIAKCI_01430,AOHABJFI_00738,LCPJMJGF_01006
gluP,gluP,Rhomboid protease GluP,HJHFJAOG_00830,MLMIAKCI_00441,AOHABJFI_00753,LCPJMJGF_00991
group_671,,hypothetical protein,HJHFJAOG_00844,MLMIAKCI_00427,AOHABJFI_00739,LCPJMJGF_01005
murK,murK,N-acetylmuramic acid/N-acetylglucosamine kinase,HJHFJAOG_00835,MLMIAKCI_00436,AOHABJFI_00748,LCPJMJGF_00996
glnA,glnA,Glutamine synthetase,HJHFJAOG_00825,MLMIAKCI_00446,AOHABJFI_00758,LCPJMJGF_00986
group_668,,hypothetical protein,HJHFJAOG_00823,MLMIAKCI_00448,AOHABJFI_00760,LCPJMJGF_00984
isdF,isdF,putative heme-iron transport system permease protein IsdF,HJHFJAOG_00840,MLMIAKCI_00431,AOHABJFI_00743,LCPJMJGF_01001
group_666,,hypothetical protein,HJHFJAOG_00826,MLMIAKCI_00445,AOHABJFI_00757,LCPJMJGF_00987
penA,penA,Penicillin-binding protein 2B,HJHFJAOG_00833,MLMIAKCI_00438,AOHABJFI_00750,LCPJMJGF_00994
group_665,,hypothetical protein,HJHFJAOG_00836,MLMIAKCI_00435,AOHABJFI_00747,LCPJMJGF_00997
rpmG1,rpmG1,Large ribosomal subunit protein bL33A,HJHFJAOG_00832,MLMIAKCI_00439,AOHABJFI_00751,LCPJMJGF_00993
isdE,isdE,High-affinity heme uptake system protein IsdE,HJHFJAOG_00841,MLMIAKCI_00430,AOHABJFI_00742,LCPJMJGF_01002
rpsI,rpsI,Small ribosomal subunit protein uS9,HJHFJAOG_00816,MLMIAKCI_01259,AOHABJFI_01205,LCPJMJGF_00592
rpsS,rpsS,Small ribosomal subunit protein uS19,HJHFJAOG_00787,MLMIAKCI_01288,AOHABJFI_01234,LCPJMJGF_00621
rpoA,rpoA,DNA-directed RNA polymerase subunit alpha,HJHFJAOG_00809,MLMIAKCI_01266,AOHABJFI_01212,LCPJMJGF_00599
ecfA2,ecfA2,Energy-coupling factor transporter ATP-binding protein EcfA2,HJHFJAOG_00812,MLMIAKCI_01263,AOHABJFI_01209,LCPJMJGF_00596
adk,adk,Adenylate kinase,HJHFJAOG_00804,MLMIAKCI_01271,AOHABJFI_01217,LCPJMJGF_00604
rpsH,rpsH,Small ribosomal subunit protein uS8,HJHFJAOG_00797,MLMIAKCI_01278,AOHABJFI_01224,LCPJMJGF_00611
rpmC,rpmC,Large ribosomal subunit protein uL29,HJHFJAOG_00791,MLMIAKCI_01284,AOHABJFI_01230,LCPJMJGF_00617
rplD,rplD,Large ribosomal subunit protein uL4,HJHFJAOG_00784,MLMIAKCI_01291,AOHABJFI_01237,LCPJMJGF_00624
ecfA1,ecfA1,Energy-coupling factor transporter ATP-binding protein EcfA1,HJHFJAOG_00811,MLMIAKCI_01264,AOHABJFI_01210,LCPJMJGF_00597
secY,secY,Protein translocase subunit SecY,HJHFJAOG_00803,MLMIAKCI_01272,AOHABJFI_01218,LCPJMJGF_00605
rplN,rplN,Large ribosomal subunit protein uL14,HJHFJAOG_00793,MLMIAKCI_01282,AOHABJFI_01228,LCPJMJGF_00615
truA,truA,tRNA pseudouridine synthase A,HJHFJAOG_00814,MLMIAKCI_01261,AOHABJFI_01207,LCPJMJGF_00594
rplF,rplF,Large ribosomal subunit protein uL6,HJHFJAOG_00798,MLMIAKCI_01277,AOHABJFI_01223,LCPJMJGF_00610
rpmJ,rpmJ,Large ribosomal subunit protein bL36,HJHFJAOG_00806,MLMIAKCI_01269,AOHABJFI_01215,LCPJMJGF_00602
rplO,rplO,Large ribosomal subunit protein uL15,HJHFJAOG_00802,MLMIAKCI_01273,AOHABJFI_01219,LCPJMJGF_00606
rpsQ,rpsQ,Small ribosomal subunit protein uS17,HJHFJAOG_00792,MLMIAKCI_01283,AOHABJFI_01229,LCPJMJGF_00616
rplP,rplP,Large ribosomal subunit protein uL16,HJHFJAOG_00790,MLMIAKCI_01285,AOHABJFI_01231,LCPJMJGF_00618
rpsC,rpsC,Small ribosomal subunit protein uS3,HJHFJAOG_00789,MLMIAKCI_01286,AOHABJFI_01232,LCPJMJGF_00619
rplX,rplX,Large ribosomal subunit protein uL24,HJHFJAOG_00794,MLMIAKCI_01281,AOHABJFI_01227,LCPJMJGF_00614
rplM,rplM,Large ribosomal subunit protein uL13,HJHFJAOG_00815,MLMIAKCI_01260,AOHABJFI_01206,LCPJMJGF_00593
rplW,rplW,Large ribosomal subunit protein uL23,HJHFJAOG_00785,MLMIAKCI_01290,AOHABJFI_01236,LCPJMJGF_00623
rplE,rplE,Large ribosomal subunit protein uL5,HJHFJAOG_00795,MLMIAKCI_01280,AOHABJFI_01226,LCPJMJGF_00613
rplC,rplC,Large ribosomal subunit protein uL3,HJHFJAOG_00783,MLMIAKCI_01292,AOHABJFI_01238,LCPJMJGF_00625
rpsJ,rpsJ,Small ribosomal subunit protein uS10,HJHFJAOG_00782,MLMIAKCI_01293,AOHABJFI_01239,LCPJMJGF_00626
rplQ,rplQ,Large ribosomal subunit protein bL17,HJHFJAOG_00810,MLMIAKCI_01265,AOHABJFI_01211,LCPJMJGF_00598
rpsM,rpsM,Small ribosomal subunit protein uS13,HJHFJAOG_00807,MLMIAKCI_01268,AOHABJFI_01214,LCPJMJGF_00601
rpmD,rpmD,Large ribosomal subunit protein uL30,HJHFJAOG_00801,MLMIAKCI_01274,AOHABJFI_01220,LCPJMJGF_00607
rpsZ_1,rpsZ_1,Small ribosomal subunit protein uS14,HJHFJAOG_00796,MLMIAKCI_01279,AOHABJFI_01225,LCPJMJGF_00612
rplV,rplV,Large ribosomal subunit protein uL22,HJHFJAOG_00788,MLMIAKCI_01287,AOHABJFI_01233,LCPJMJGF_00620
infA,infA,Translation initiation factor IF-1,HJHFJAOG_00805,MLMIAKCI_01270,AOHABJFI_01216,LCPJMJGF_00603
rpsE,rpsE,Small ribosomal subunit protein uS5,HJHFJAOG_00800,MLMIAKCI_01275,AOHABJFI_01221,LCPJMJGF_00608
ecfT_1~~~ecfT_2,ecfT_1;ecfT_2,Energy-coupling factor transporter transmembrane protein EcfT,HJHFJAOG_00813,MLMIAKCI_01262,AOHABJFI_01208,LCPJMJGF_00595
rpsK,rpsK,Small ribosomal subunit protein uS11,HJHFJAOG_00808,MLMIAKCI_01267,AOHABJFI_01213,LCPJMJGF_00600
xerC_2~~~xerC_6,;xerC_2;xerC_6,hypothetical protein;Tyrosine recombinase XerC,HJHFJAOG_00817,MLMIAKCI_01258,AOHABJFI_01203;AOHABJFI_01204,LCPJMJGF_00591
rplR,rplR,Large ribosomal subunit protein uL18,HJHFJAOG_00799,MLMIAKCI_01276,AOHABJFI_01222,LCPJMJGF_00609
rplB,rplB,Large ribosomal subunit protein uL2,HJHFJAOG_00786,MLMIAKCI_01289,AOHABJFI_01235,LCPJMJGF_00622
group_663,,hypothetical protein,HJHFJAOG_01880,MLMIAKCI_00166,AOHABJFI_00515,LCPJMJGF_01965
nrdD,nrdD,Anaerobic ribonucleoside-triphosphate reductase,HJHFJAOG_01025,MLMIAKCI_00157,AOHABJFI_00524,LCPJMJGF_01956
group_661,,hypothetical protein,HJHFJAOG_01016,MLMIAKCI_00047,AOHABJFI_00533,LCPJMJGF_01947
group_660,,hypothetical protein,HJHFJAOG_01023,MLMIAKCI_00155,AOHABJFI_00526,LCPJMJGF_01954
ptpB_2,ptpB_2,Triple specificity protein phosphatase PtpB,HJHFJAOG_01877,MLMIAKCI_00168,AOHABJFI_00513,LCPJMJGF_01967
bioH,bioH,Pimeloyl-[acyl-carrier protein] methyl ester esterase,HJHFJAOG_00775,MLMIAKCI_02211,AOHABJFI_00924,LCPJMJGF_01992
group_658,,D-aspartate ligase,HJHFJAOG_01026,MLMIAKCI_00158,AOHABJFI_00523,LCPJMJGF_01957
ntd_2,ntd_2,Nucleoside deoxyribosyltransferase,HJHFJAOG_01875,MLMIAKCI_00170,AOHABJFI_00511,LCPJMJGF_01969
group_657,,hypothetical protein,HJHFJAOG_01022,MLMIAKCI_00154,AOHABJFI_00527,LCPJMJGF_01953
ddlA,ddlA,D-alanine--D-alanine ligase A,HJHFJAOG_00766,MLMIAKCI_00179,AOHABJFI_00933,LCPJMJGF_01978
tag,tag,DNA-3-methyladenine glycosylase 1,HJHFJAOG_01030,MLMIAKCI_00162,AOHABJFI_00519,LCPJMJGF_01961
ypuA,ypuA,putative protein YpuA,HJHFJAOG_00777,MLMIAKCI_02209,AOHABJFI_00922,LCPJMJGF_01994
asnB,asnB,Asparagine synthetase [glutamine-hydrolyzing] 1,HJHFJAOG_01027,MLMIAKCI_00159,AOHABJFI_00522,LCPJMJGF_01958
group_655,,hypothetical protein,HJHFJAOG_01024,MLMIAKCI_00156,AOHABJFI_00525,LCPJMJGF_01955
epsH,epsH,Putative glycosyltransferase EpsH,HJHFJAOG_00776,MLMIAKCI_02210,AOHABJFI_00923,LCPJMJGF_01993
group_653,,hypothetical protein,HJHFJAOG_01028,MLMIAKCI_00160,AOHABJFI_00521,LCPJMJGF_01959
group_652,,hypothetical protein,HJHFJAOG_01029,MLMIAKCI_00161,AOHABJFI_00520,LCPJMJGF_01960
group_650,,hypothetical protein,HJHFJAOG_00781,MLMIAKCI_02205,AOHABJFI_00918,LCPJMJGF_01998
group_647,,hypothetical protein,HJHFJAOG_00764,MLMIAKCI_00177,AOHABJFI_00935,LCPJMJGF_01976
group_646,,hypothetical protein,HJHFJAOG_01874,MLMIAKCI_00171,AOHABJFI_00510,LCPJMJGF_01970
group_645,,hypothetical protein,HJHFJAOG_01021,MLMIAKCI_00563,AOHABJFI_00528,LCPJMJGF_01952
rnhA,rnhA,Ribonuclease H,HJHFJAOG_00778,MLMIAKCI_02208,AOHABJFI_00921,LCPJMJGF_01995
pepO_2,pepO_2,Neutral endopeptidase,HJHFJAOG_01020,MLMIAKCI_00415,AOHABJFI_00529,LCPJMJGF_01951
group_642,,hypothetical protein,HJHFJAOG_00762,MLMIAKCI_00175,AOHABJFI_00937,LCPJMJGF_01974
betI,betI,HTH-type transcriptional regulator BetI,HJHFJAOG_00771,MLMIAKCI_00184,AOHABJFI_00928,LCPJMJGF_01983
group_641,,hypothetical protein,HJHFJAOG_00770,MLMIAKCI_00183,AOHABJFI_00929,LCPJMJGF_01982
group_640,,hypothetical protein,HJHFJAOG_01876,MLMIAKCI_00169,AOHABJFI_00512,LCPJMJGF_01968
agaA,agaA,N-acetylgalactosamine-6-phosphate deacetylase,HJHFJAOG_00760,MLMIAKCI_00173,AOHABJFI_00939,LCPJMJGF_01972
group_638,,hypothetical protein,HJHFJAOG_00761,MLMIAKCI_00174,AOHABJFI_00938,LCPJMJGF_01973
group_637,,hypothetical protein,HJHFJAOG_01018,MLMIAKCI_00045,AOHABJFI_00531,LCPJMJGF_01949
kup_2,kup_2,Low affinity potassium transport system protein Kup,HJHFJAOG_01019,MLMIAKCI_00044,AOHABJFI_00530,LCPJMJGF_01950
prs_2,prs_2,Ribose-phosphate pyrophosphokinase,HJHFJAOG_00772,MLMIAKCI_00185,AOHABJFI_00927,LCPJMJGF_01984
group_635,,hypothetical protein,HJHFJAOG_01017,MLMIAKCI_00046,AOHABJFI_00532,LCPJMJGF_01948
clsA_1,clsA_1,Major cardiolipin synthase ClsA,HJHFJAOG_00780,MLMIAKCI_02206,AOHABJFI_00919,LCPJMJGF_01997
group_634,,hypothetical protein,HJHFJAOG_00763,MLMIAKCI_00176,AOHABJFI_00936,LCPJMJGF_01975
argV,argV,Arginine transport ATP-binding protein ArgV,HJHFJAOG_00768,MLMIAKCI_00181,AOHABJFI_00931,LCPJMJGF_01980
group_633,,Putative universal stress protein,HJHFJAOG_01878,MLMIAKCI_00167,AOHABJFI_00514,LCPJMJGF_01966
group_632,,hypothetical protein,HJHFJAOG_00779,MLMIAKCI_02207,AOHABJFI_00920,LCPJMJGF_01996
group_631,,hypothetical protein,HJHFJAOG_00765,MLMIAKCI_00178,AOHABJFI_00934,LCPJMJGF_01977
group_629,,hypothetical protein,HJHFJAOG_00767,MLMIAKCI_00180,AOHABJFI_00932,LCPJMJGF_01979
phnE_2~~~phnE_1,phnE_2;phnE_1,Phosphate-import permease protein PhnE,HJHFJAOG_01883,MLMIAKCI_00163,AOHABJFI_00518,LCPJMJGF_01962
phnE_1~~~phnE_2,phnE_1;phnE_2,Phosphate-import permease protein PhnE,HJHFJAOG_01882,MLMIAKCI_00164,AOHABJFI_00517,LCPJMJGF_01963
glnQ_3~~~glnQ_1,glnQ_3;glnQ_1,Glutamine transport ATP-binding protein GlnQ,HJHFJAOG_01881,MLMIAKCI_00165,AOHABJFI_00516,LCPJMJGF_01964
mltF_1,mltF_1,Membrane-bound lytic murein transglycosylase F,HJHFJAOG_00769,MLMIAKCI_00182,AOHABJFI_00930,LCPJMJGF_01981
uup_3~~~hepA,;uup_3;hepA,hypothetical protein;ATP-binding protein Uup;Heterocyst differentiation ATP-binding protein HepA,HJHFJAOG_00757;HJHFJAOG_00756,MLMIAKCI_01889,AOHABJFI_00966,LCPJMJGF_01463
manX,manX,PTS system mannose-specific EIIAB component,HJHFJAOG_00737,MLMIAKCI_01754,AOHABJFI_00985,LCPJMJGF_01482
group_627,,hypothetical protein,HJHFJAOG_00753,MLMIAKCI_01886,AOHABJFI_00969,LCPJMJGF_01466
group_626,,hypothetical protein,HJHFJAOG_00751,MLMIAKCI_01884,AOHABJFI_00971,LCPJMJGF_01468
maa_2,maa_2,Maltose O-acetyltransferase,HJHFJAOG_00742,MLMIAKCI_01749,AOHABJFI_00980,LCPJMJGF_01477
adhE_2,adhE_2,Aldehyde-alcohol dehydrogenase,HJHFJAOG_00745,MLMIAKCI_01746,AOHABJFI_00977,LCPJMJGF_01474
cycA_1,cycA_1,D-serine/D-alanine/glycine transporter,HJHFJAOG_00743,MLMIAKCI_01748,AOHABJFI_00979,LCPJMJGF_01476
glmS,glmS,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],HJHFJAOG_00746,MLMIAKCI_01745,AOHABJFI_00976,LCPJMJGF_01473
sorA,sorA,PTS system sorbose-specific EIIC component,HJHFJAOG_00738,MLMIAKCI_01753,AOHABJFI_00984,LCPJMJGF_01481
group_625,,hypothetical protein,HJHFJAOG_00740,MLMIAKCI_01751,AOHABJFI_00982,LCPJMJGF_01479
group_624,,hypothetical protein,HJHFJAOG_00755,MLMIAKCI_01888,AOHABJFI_00967,LCPJMJGF_01464
group_623,,hypothetical protein,HJHFJAOG_00748,MLMIAKCI_01881,AOHABJFI_00974,LCPJMJGF_01471
group_622,,hypothetical protein,HJHFJAOG_00759,MLMIAKCI_01891,AOHABJFI_00964,LCPJMJGF_01461
rppH_2,rppH_2,RNA pyrophosphohydrolase,HJHFJAOG_00754,MLMIAKCI_01887,AOHABJFI_00968,LCPJMJGF_01465
mtlR_2~~~mtlR_1~~~mtlR,mtlR_2;mtlR_1;mtlR,Transcriptional regulator MtlR,HJHFJAOG_00747,MLMIAKCI_01880;MLMIAKCI_01744,AOHABJFI_00975,LCPJMJGF_01472
pckA,pckA,Phosphoenolpyruvate carboxykinase (ATP),HJHFJAOG_00758,MLMIAKCI_01890,AOHABJFI_00965,LCPJMJGF_01462
manZ,manZ,PTS system mannose-specific EIID component,HJHFJAOG_00739,MLMIAKCI_01752,AOHABJFI_00983,LCPJMJGF_01480
mtlF,mtlF,Mannitol-specific phosphotransferase enzyme IIA component,HJHFJAOG_00749,MLMIAKCI_01882,AOHABJFI_00973,LCPJMJGF_01470
adhE_1,adhE_1,Aldehyde-alcohol dehydrogenase,HJHFJAOG_00744,MLMIAKCI_01747,AOHABJFI_00978,LCPJMJGF_01475
mtlD,mtlD,Mannitol-1-phosphate 5-dehydrogenase,HJHFJAOG_00750,MLMIAKCI_01883,AOHABJFI_00972,LCPJMJGF_01469
hdfR_1,hdfR_1,HTH-type transcriptional regulator HdfR,HJHFJAOG_00741,MLMIAKCI_01750,AOHABJFI_00981,LCPJMJGF_01478
group_621,,hypothetical protein,HJHFJAOG_00752,MLMIAKCI_01885,AOHABJFI_00970,LCPJMJGF_01467
group_619,,hypothetical protein,HJHFJAOG_00688,MLMIAKCI_00640,AOHABJFI_00812,LCPJMJGF_01298
pepF,pepF,Oligopeptidase PepF,HJHFJAOG_00704,MLMIAKCI_00624,AOHABJFI_00021,LCPJMJGF_01313
group_617,,hypothetical protein,HJHFJAOG_00683,MLMIAKCI_00645,AOHABJFI_00817,LCPJMJGF_01293
group_616,tagU_2,Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU,HJHFJAOG_00703,MLMIAKCI_00625,AOHABJFI_00797,LCPJMJGF_01312
ydfK,ydfK,putative membrane protein YdfK,HJHFJAOG_00702,MLMIAKCI_00626,AOHABJFI_00798,LCPJMJGF_01311
gmk_1~~~gmk_2,gmk_1;gmk_2,Guanylate kinase,HJHFJAOG_00686,MLMIAKCI_00642,AOHABJFI_00814,LCPJMJGF_01296
yheS,yheS,putative ATP-binding protein YheS,HJHFJAOG_00697,MLMIAKCI_00631,AOHABJFI_00803,LCPJMJGF_01307
group_613,,hypothetical protein,HJHFJAOG_00699,MLMIAKCI_00629,AOHABJFI_00801,LCPJMJGF_01309
group_612,,hypothetical protein,HJHFJAOG_00700;HJHFJAOG_00701,MLMIAKCI_00627;MLMIAKCI_00628,AOHABJFI_00800;AOHABJFI_00799,LCPJMJGF_01310
hflX,hflX,GTPase HflX,HJHFJAOG_00680,MLMIAKCI_00648,AOHABJFI_00820,LCPJMJGF_01290
group_611,,hypothetical protein,HJHFJAOG_00693,MLMIAKCI_00635,AOHABJFI_00807,LCPJMJGF_01303
group_610,,hypothetical protein,HJHFJAOG_00689,MLMIAKCI_00639,AOHABJFI_00811,LCPJMJGF_01299
yjjB,yjjB,succinate transporter subunit YjjB,HJHFJAOG_00695,MLMIAKCI_00633,AOHABJFI_00805,LCPJMJGF_01305
group_608,,hypothetical protein,HJHFJAOG_00706,MLMIAKCI_00622,AOHABJFI_00023,LCPJMJGF_01316
nrdF1~~~nrdF_1,nrdF1;;nrdF_1,Ribonucleoside-diphosphate reductase subunit beta nrdF1;hypothetical protein;Ribonucleoside-diphosphate reductase 2 subunit beta,HJHFJAOG_00692,MLMIAKCI_00636,AOHABJFI_00808,LCPJMJGF_01302;LCPJMJGF_01301
yjjP,yjjP,putative succinate transporter subunit YjjP,HJHFJAOG_00696,MLMIAKCI_00632,AOHABJFI_00804,LCPJMJGF_01306
group_607,,hypothetical protein,HJHFJAOG_00687,MLMIAKCI_00641,AOHABJFI_00813,LCPJMJGF_01297
group_606,,hypothetical protein,HJHFJAOG_00698,MLMIAKCI_00630,AOHABJFI_00802,LCPJMJGF_01308
group_605,,hypothetical protein,HJHFJAOG_00694,MLMIAKCI_00634,AOHABJFI_00806,LCPJMJGF_01304
nrdI_1,nrdI_1,Protein NrdI,HJHFJAOG_00691,MLMIAKCI_00637,AOHABJFI_00809,LCPJMJGF_01300
group_604,,hypothetical protein,HJHFJAOG_00705,MLMIAKCI_00623,AOHABJFI_00022,LCPJMJGF_01315
group_603,,hypothetical protein,HJHFJAOG_00681,MLMIAKCI_00647,AOHABJFI_00819,LCPJMJGF_01291
group_599,,hypothetical protein,HJHFJAOG_00685,MLMIAKCI_00643,AOHABJFI_00815,LCPJMJGF_01295
group_596,,hypothetical protein,HJHFJAOG_00684,MLMIAKCI_00644,AOHABJFI_00816,LCPJMJGF_01294
group_595,,hypothetical protein,HJHFJAOG_00682,MLMIAKCI_00646,AOHABJFI_00818,LCPJMJGF_01292
group_594,,hypothetical protein,HJHFJAOG_00677,MLMIAKCI_00531,AOHABJFI_00538,LCPJMJGF_01944
group_593,,hypothetical protein,HJHFJAOG_00678,MLMIAKCI_00530,AOHABJFI_00537,LCPJMJGF_01945
group_592,,hypothetical protein,HJHFJAOG_00679,1_refound_9_pseudo,AOHABJFI_00536,LCPJMJGF_01946
tagU_1,tagU_1,Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU,HJHFJAOG_00658,MLMIAKCI_01508,AOHABJFI_01486,LCPJMJGF_01925
group_591,,hypothetical protein,HJHFJAOG_00659,MLMIAKCI_01507,AOHABJFI_01487,LCPJMJGF_01926
group_590,,hypothetical protein,HJHFJAOG_00662,MLMIAKCI_01504,AOHABJFI_01490,LCPJMJGF_01929
group_589,,hypothetical protein,HJHFJAOG_00661,MLMIAKCI_01505,AOHABJFI_01489,LCPJMJGF_01928
plsY_1,plsY_1,Glycerol-3-phosphate acyltransferase,HJHFJAOG_00657,MLMIAKCI_01509,AOHABJFI_01485,LCPJMJGF_01924
kefB,kefB,Glutathione-regulated potassium-efflux system protein KefB,HJHFJAOG_00665,MLMIAKCI_01501,AOHABJFI_01493,LCPJMJGF_01932
group_586,,hypothetical protein,HJHFJAOG_00673,MLMIAKCI_00148,AOHABJFI_02084,LCPJMJGF_01941
group_585,,hypothetical protein,HJHFJAOG_00671,MLMIAKCI_00146,AOHABJFI_02082,LCPJMJGF_01939
group_583,,hypothetical protein,HJHFJAOG_00666,MLMIAKCI_01500,AOHABJFI_01494,LCPJMJGF_01933
iolU_2,iolU_2,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,HJHFJAOG_00663,MLMIAKCI_01503,AOHABJFI_01491,LCPJMJGF_01930
group_581,,hypothetical protein,HJHFJAOG_00672,MLMIAKCI_00147,AOHABJFI_02083,LCPJMJGF_01940
group_579,,hypothetical protein,HJHFJAOG_00656,MLMIAKCI_01510,AOHABJFI_01484,LCPJMJGF_01923
group_576,,hypothetical protein,HJHFJAOG_00667,MLMIAKCI_01499,AOHABJFI_01495,LCPJMJGF_01934
group_574,gpmA_1,23-bisphosphoglycerate-dependent phosphoglycerate mutase,HJHFJAOG_00660,MLMIAKCI_01506,AOHABJFI_01488,LCPJMJGF_01927
pcp,pcp,Pyrrolidone-carboxylate peptidase,HJHFJAOG_00664,MLMIAKCI_01502,AOHABJFI_01492,LCPJMJGF_01931
msmX,msmX,Oligosaccharides import ATP-binding protein MsmX,HJHFJAOG_01467,MLMIAKCI_01157,AOHABJFI_00287,LCPJMJGF_01441
yvdM,yvdM,Beta-phosphoglucomutase,HJHFJAOG_01466,MLMIAKCI_01158,AOHABJFI_00286,LCPJMJGF_01440
ganQ,ganQ,Galactooligosaccharides transport system permease protein GanQ,HJHFJAOG_01470,MLMIAKCI_01154,AOHABJFI_00290,LCPJMJGF_01444
