Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Lactobacillus_jensenii__UMB0732__GCA_030218485.1,Lactobacillus_jensenii__UMB10187__GCA_030211725.1,Lactobacillus_jensenii__UMB7786__GCA_030215165.1
group_404,,hypothetical protein,3,3,1.0,20,4,,,,552,552,552.0,BDMKMOGB_00963,IAAMHMBP_00708,PKFCGPHH_00576
nusG,nusG,Transcription termination/antitermination protein NusG,3,3,1.0,20,3,,,,558,558,558.0,BDMKMOGB_00960,IAAMHMBP_00711,PKFCGPHH_00579
group_403,,hypothetical protein,3,3,1.0,20,2,,,,168,168,168.0,BDMKMOGB_00809,IAAMHMBP_00696,PKFCGPHH_00565
secE,secE,Protein translocase subunit SecE,3,3,1.0,20,1,,,,171,171,171.0,BDMKMOGB_00961,IAAMHMBP_00710,PKFCGPHH_00578
group_402,,hypothetical protein,3,3,1.0,19,28,,,,1317,1317,1317.0,BDMKMOGB_00781,IAAMHMBP_00791,PKFCGPHH_00324
steT_1,steT_1,Serine/threonine exchanger SteT,3,3,1.0,19,27,,,,1326,1326,1326.0,BDMKMOGB_00779,IAAMHMBP_00793,PKFCGPHH_00322
group_401,,hypothetical protein,3,3,1.0,19,26,,,,1026,1026,1026.0,BDMKMOGB_00777,IAAMHMBP_00795,PKFCGPHH_00320
yabA,yabA,Replication initiation control protein YabA,3,3,1.0,19,25,,,,357,357,357.0,BDMKMOGB_01002,IAAMHMBP_01037,PKFCGPHH_00310
recR,recR,Recombination protein RecR,3,3,1.0,19,24,,,,600,600,600.0,BDMKMOGB_00997,IAAMHMBP_01042,PKFCGPHH_00305
rsmC,rsmC,Ribosomal RNA small subunit methyltransferase C,3,3,1.0,19,23,,,,600,600,600.0,BDMKMOGB_00993,IAAMHMBP_01046,PKFCGPHH_00301
group_400,,hypothetical protein,3,3,1.0,19,22,,,,849,849,849.0,BDMKMOGB_01001,IAAMHMBP_01038,PKFCGPHH_00309
tsaD,tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,3,3,1.0,19,21,,,,1047,1047,1047.0,BDMKMOGB_00774,IAAMHMBP_00798,PKFCGPHH_00317
ywnA_2,ywnA_2,Putative HTH-type transcriptional regulator YwnA,3,3,1.0,19,20,,,,432,432,432.0,BDMKMOGB_00776,IAAMHMBP_00796,PKFCGPHH_00319
rsmI,rsmI,Ribosomal RNA small subunit methyltransferase I,3,3,1.0,19,19,,,,855,855,855.0,BDMKMOGB_01003,IAAMHMBP_01036,PKFCGPHH_00311
group_399,,hypothetical protein,3,3,1.0,19,18,,,,111,111,111.0,BDMKMOGB_00778,IAAMHMBP_00794,PKFCGPHH_00321
tadA_2,tadA_2,tRNA-specific adenosine deaminase,3,3,1.0,19,17,,,,531,531,531.0,BDMKMOGB_00994,IAAMHMBP_01045,PKFCGPHH_00302
group_398,,hypothetical protein,3,3,1.0,19,16,,,,246,579,468.0,BDMKMOGB_00770,IAAMHMBP_01034,PKFCGPHH_00313
group_397,,hypothetical protein,3,3,1.0,19,15,,,,135,135,135.0,BDMKMOGB_00775,IAAMHMBP_00797,PKFCGPHH_00318
group_396,,hypothetical protein,3,3,1.0,19,14,,,,870,870,870.0,BDMKMOGB_00782,IAAMHMBP_00790,PKFCGPHH_00325
folT,folT,Folate transporter FolT,3,3,1.0,19,13,,,,540,540,540.0,BDMKMOGB_00771,IAAMHMBP_00801,PKFCGPHH_00314
group_394,,hypothetical protein,3,3,1.0,19,11,,,,552,552,552.0,BDMKMOGB_00991,IAAMHMBP_01201,PKFCGPHH_00299
dnaX,dnaX,DNA polymerase III subunit tau,3,3,1.0,19,10,,,,1782,1782,1782.0,BDMKMOGB_00995,IAAMHMBP_01044,PKFCGPHH_00303
group_393,,hypothetical protein,3,3,1.0,19,9,,,,240,240,240.0,BDMKMOGB_00998,IAAMHMBP_01041,PKFCGPHH_00306
darA,darA,Cyclic di-AMP receptor A,3,3,1.0,19,8,,,,321,321,321.0,BDMKMOGB_01000,IAAMHMBP_01039,PKFCGPHH_00308
rimI,rimI,[Ribosomal protein bS18]-alanine N-acetyltransferase,3,3,1.0,19,7,,,,555,555,555.0,BDMKMOGB_00773,IAAMHMBP_00799,PKFCGPHH_00316
group_392,,hypothetical protein,3,3,1.0,19,6,,,,1125,1125,1125.0,BDMKMOGB_00780,IAAMHMBP_00792,PKFCGPHH_00323
tmk_2,tmk_2,Thymidylate kinase,3,3,1.0,19,5,,,,648,648,648.0,BDMKMOGB_00999,IAAMHMBP_01040,PKFCGPHH_00307
group_391,,hypothetical protein,3,3,1.0,19,4,,,,399,399,399.0,BDMKMOGB_00992,IAAMHMBP_01202,PKFCGPHH_00300
group_390,,hypothetical protein,3,3,1.0,19,3,,,,729,729,729.0,BDMKMOGB_01004,IAAMHMBP_01035,PKFCGPHH_00312
tsaB,tsaB,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,3,3,1.0,19,2,,,,729,729,729.0,BDMKMOGB_00772,IAAMHMBP_00800,PKFCGPHH_00315
ybaB,ybaB,Nucleoid-associated protein YbaB,3,3,1.0,19,1,,,,330,330,330.0,BDMKMOGB_00996,IAAMHMBP_01043,PKFCGPHH_00304
guaB_1~~~guaB_2~~~guaB,guaB_1;guaB_2;guaB,Inosine-5'-monophosphate dehydrogenase,3,4,1.3333333333333333,18,18,,,,396,1140,807.75,BDMKMOGB_00752;BDMKMOGB_00751,IAAMHMBP_01016,PKFCGPHH_01130
group_389,,hypothetical protein,3,3,1.0,18,17,,,,444,444,444.0,BDMKMOGB_00767,IAAMHMBP_01031,PKFCGPHH_01297
group_388,,IS3 family transposase ISL6,3,3,1.0,18,16,,,,618,618,618.0,BDMKMOGB_00765,IAAMHMBP_01029,PKFCGPHH_01295
tcyB,tcyB,L-cystine transport system permease protein TcyB,3,3,1.0,18,15,,,,678,678,678.0,BDMKMOGB_00762,IAAMHMBP_01026,PKFCGPHH_01458
yjeM_1,yjeM_1,Inner membrane transporter YjeM,3,3,1.0,18,14,,,,1494,1494,1494.0,BDMKMOGB_00754,IAAMHMBP_01018,PKFCGPHH_01132
group_387,,hypothetical protein,3,3,1.0,18,13,,,,789,789,789.0,BDMKMOGB_00764,IAAMHMBP_01028,PKFCGPHH_01294
macB~~~syfD,macB;syfD,Macrolide export ATP-binding/permease protein MacB;putative syringafactin export ATP-binding/permease protein SyfD,3,3,1.0,18,12,,,,1413,1968,1783.0,BDMKMOGB_00758,IAAMHMBP_01022,PKFCGPHH_01136
tcyJ,tcyJ,L-cystine-binding protein TcyJ,3,3,1.0,18,11,,,,792,792,792.0,BDMKMOGB_00760,IAAMHMBP_01024,PKFCGPHH_01456
group_386,,putative amino-acid ABC transporter-binding protein,3,3,1.0,18,10,,,,795,795,795.0,BDMKMOGB_00761,IAAMHMBP_01025,PKFCGPHH_01457
group_385,,hypothetical protein,3,3,1.0,18,9,,,,606,606,606.0,BDMKMOGB_00759,IAAMHMBP_01023,PKFCGPHH_01577
ygcS_1,ygcS_1,Inner membrane metabolite transport protein YgcS,3,3,1.0,18,8,,,,1368,1368,1368.0,BDMKMOGB_00756,IAAMHMBP_01020,PKFCGPHH_01134
pucI,pucI,Allantoin permease,3,3,1.0,18,7,,,,1320,1320,1320.0,BDMKMOGB_00753,IAAMHMBP_01017,PKFCGPHH_01131
paiA,paiA,Spermidine/spermine N(1)-acetyltransferase,3,3,1.0,18,6,,,,525,525,525.0,BDMKMOGB_00768,IAAMHMBP_01032,PKFCGPHH_01298
group_384,,hypothetical protein,3,3,1.0,18,5,,,,564,564,564.0,BDMKMOGB_00769,IAAMHMBP_01033,PKFCGPHH_01299
group_383,,hypothetical protein,3,3,1.0,18,4,,,,633,633,633.0,BDMKMOGB_00766,IAAMHMBP_01030,PKFCGPHH_01296
tcyN,tcyN,L-cystine transport system ATP-binding protein TcyN,3,3,1.0,18,3,,,,735,735,735.0,BDMKMOGB_00763,IAAMHMBP_01027,PKFCGPHH_01293
ykoE,ykoE,Putative HMP/thiamine permease protein YkoE,3,3,1.0,18,2,,,,570,570,570.0,BDMKMOGB_00755,IAAMHMBP_01019,PKFCGPHH_01133
ygcS_2,ygcS_2,Inner membrane metabolite transport protein YgcS,3,3,1.0,18,1,,,,1296,1296,1296.0,BDMKMOGB_00757,IAAMHMBP_01021,PKFCGPHH_01135
group_382,,hypothetical protein,3,3,1.0,17,99,,,,138,138,138.0,BDMKMOGB_00711,IAAMHMBP_01394,PKFCGPHH_00069
group_381,,hypothetical protein,3,3,1.0,17,98,,,,417,417,417.0,BDMKMOGB_00688,IAAMHMBP_01371,PKFCGPHH_00147
group_380,,hypothetical protein,3,3,1.0,17,97,,,,756,756,756.0,BDMKMOGB_00719,IAAMHMBP_01402,PKFCGPHH_00061
group_379,,hypothetical protein,3,3,1.0,17,96,,,,432,432,432.0,BDMKMOGB_00714,IAAMHMBP_01397,PKFCGPHH_00066
rplM,rplM,Large ribosomal subunit protein uL13,3,3,1.0,17,95,,,,438,438,438.0,BDMKMOGB_00634,IAAMHMBP_01317,PKFCGPHH_00093
rplP,rplP,Large ribosomal subunit protein uL16,3,3,1.0,17,94,,,,441,441,441.0,BDMKMOGB_00659,IAAMHMBP_01342,PKFCGPHH_00118
rplO,rplO,Large ribosomal subunit protein uL15,3,3,1.0,17,93,,,,441,441,441.0,BDMKMOGB_00647,IAAMHMBP_01330,PKFCGPHH_00106
rpmJ,rpmJ,Large ribosomal subunit protein bL36,3,3,1.0,17,92,,,,117,117,117.0,BDMKMOGB_00643,IAAMHMBP_01326,PKFCGPHH_00102
truA,truA,tRNA pseudouridine synthase A,3,3,1.0,17,91,,,,789,789,789.0,BDMKMOGB_00635,IAAMHMBP_01318,PKFCGPHH_00094
group_378,,hypothetical protein,3,3,1.0,17,90,,,,450,450,450.0,BDMKMOGB_00707,IAAMHMBP_01390,PKFCGPHH_00073
yhaP,yhaP,putative protein YhaP,3,3,1.0,17,89,,,,1236,1236,1236.0,BDMKMOGB_00708,IAAMHMBP_01391,PKFCGPHH_00072
group_377,,hypothetical protein,3,3,1.0,17,88,,,,144,144,144.0,BDMKMOGB_00712,IAAMHMBP_01395,PKFCGPHH_00068
tilS,tilS,tRNA(Ile)-lysidine synthase,3,3,1.0,17,87,,,,1239,1239,1239.0,BDMKMOGB_00695,IAAMHMBP_01378,PKFCGPHH_00085
ecfT,ecfT,Energy-coupling factor transporter transmembrane protein EcfT,3,3,1.0,17,86,,,,798,798,798.0,BDMKMOGB_00636,IAAMHMBP_01319,PKFCGPHH_00095
group_376,,hypothetical protein,3,3,1.0,17,85,,,,801,801,801.0,BDMKMOGB_00725,IAAMHMBP_01409,PKFCGPHH_00055
murA1,murA1,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,3,3,1.0,17,84,,,,1266,1266,1266.0,BDMKMOGB_01149,IAAMHMBP_01414,PKFCGPHH_00050
rpsG,rpsG,Small ribosomal subunit protein uS7,3,3,1.0,17,83,,,,471,471,471.0,BDMKMOGB_00670,IAAMHMBP_01353,PKFCGPHH_00129
group_375,,hypothetical protein,3,3,1.0,17,82,,,,816,816,816.0,BDMKMOGB_00687,IAAMHMBP_01370,PKFCGPHH_00146
secY,secY,Protein translocase subunit SecY,3,3,1.0,17,81,,,,1293,1293,1293.0,BDMKMOGB_00646,IAAMHMBP_01329,PKFCGPHH_00105
group_374,,hypothetical protein,3,3,1.0,17,80,,,,822,822,822.0,BDMKMOGB_00683,IAAMHMBP_01366,PKFCGPHH_00142
group_373,,hypothetical protein,3,3,1.0,17,79,,,,495,495,495.0,BDMKMOGB_00706,IAAMHMBP_01389,PKFCGPHH_00074
group_372,,hypothetical protein,3,3,1.0,17,78,,,,495,495,495.0,BDMKMOGB_00684,IAAMHMBP_01367,PKFCGPHH_00143
rpsZ,rpsZ,Small ribosomal subunit protein uS14,3,3,1.0,17,77,,,,186,186,186.0,BDMKMOGB_00653,IAAMHMBP_01336,PKFCGPHH_00112
rpmD,rpmD,Large ribosomal subunit protein uL30,3,3,1.0,17,76,,,,186,186,186.0,BDMKMOGB_00648,IAAMHMBP_01331,PKFCGPHH_00107
rplB,rplB,Large ribosomal subunit protein uL2,3,3,1.0,17,75,,,,837,837,837.0,BDMKMOGB_00663,IAAMHMBP_01346,PKFCGPHH_00122
rpmC,rpmC,Large ribosomal subunit protein uL29,3,3,1.0,17,74,,,,198,198,198.0,BDMKMOGB_00658,IAAMHMBP_01341,PKFCGPHH_00117
rpsE,rpsE,Small ribosomal subunit protein uS5,3,3,1.0,17,73,,,,516,516,516.0,BDMKMOGB_00649,IAAMHMBP_01332,PKFCGPHH_00108
ecfA1,ecfA1,Energy-coupling factor transporter ATP-binding protein EcfA1,3,3,1.0,17,72,,,,852,852,852.0,BDMKMOGB_00638,IAAMHMBP_01321,PKFCGPHH_00097
murF,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,3,3,1.0,17,71,,,,1368,1368,1368.0,BDMKMOGB_00704,IAAMHMBP_01387,PKFCGPHH_00076
group_371,,hypothetical protein,3,3,1.0,17,70,,,,1374,1374,1374.0,BDMKMOGB_01153,IAAMHMBP_01418,PKFCGPHH_00046
rpsJ,rpsJ,Small ribosomal subunit protein uS10,3,3,1.0,17,69,,,,531,531,531.0,BDMKMOGB_00667,IAAMHMBP_01350,PKFCGPHH_00126
ecfA2,ecfA2,Energy-coupling factor transporter ATP-binding protein EcfA2,3,3,1.0,17,68,,,,864,864,864.0,BDMKMOGB_00637,IAAMHMBP_01320,PKFCGPHH_00096
infA,infA,Translation initiation factor IF-1,3,3,1.0,17,67,,,,222,222,222.0,BDMKMOGB_00644,IAAMHMBP_01327,PKFCGPHH_00103
rplF,rplF,Large ribosomal subunit protein uL6,3,3,1.0,17,66,,,,531,531,531.0,BDMKMOGB_00651,IAAMHMBP_01334,PKFCGPHH_00110
rplE,rplE,Large ribosomal subunit protein uL5,3,3,1.0,17,65,,,,543,543,543.0,BDMKMOGB_00654,IAAMHMBP_01337,PKFCGPHH_00113
hslO,hslO,33 kDa chaperonin,3,3,1.0,17,64,,,,882,882,882.0,BDMKMOGB_00693,IAAMHMBP_01376,PKFCGPHH_00087
pepDA_3,pepDA_3,Dipeptidase A,3,3,1.0,17,63,,,,1425,1425,1425.0,BDMKMOGB_00723,IAAMHMBP_01407,PKFCGPHH_00057
pth,pth,Peptidyl-tRNA hydrolase,3,3,1.0,17,62,,,,558,558,558.0,BDMKMOGB_00700,IAAMHMBP_01383,PKFCGPHH_00080
group_370,,hypothetical protein,3,3,1.0,17,61,,,,891,891,891.0,BDMKMOGB_00676,IAAMHMBP_01359,PKFCGPHH_00135
group_369,,hypothetical protein,3,3,1.0,17,60,,,,243,243,243.0,BDMKMOGB_00717,IAAMHMBP_01400,PKFCGPHH_00063
rqcP,rqcP,RQC P-site tRNA stabilizing factor,3,3,1.0,17,59,,,,243,243,243.0,BDMKMOGB_00698,IAAMHMBP_01381,PKFCGPHH_00082
cshA,cshA,ATP-dependent RNA helicase CshA,3,3,1.0,17,58,,,,1455,1455,1455.0,BDMKMOGB_00703,IAAMHMBP_01386,PKFCGPHH_00077
btuD,btuD,Vitamin B12 import ATP-binding protein BtuD,3,3,1.0,17,57,,,,906,906,906.0,BDMKMOGB_00709,IAAMHMBP_01392,PKFCGPHH_00071
group_368,,hypothetical protein,3,3,1.0,17,56,,,,570,570,570.0,BDMKMOGB_00716,IAAMHMBP_01399,PKFCGPHH_00064
emrB,emrB,Multidrug export protein EmrB,3,3,1.0,17,55,,,,1476,1476,1476.0,BDMKMOGB_00715,IAAMHMBP_01398,PKFCGPHH_00065
group_367,,hypothetical protein,3,3,1.0,17,54,,,,252,252,252.0,BDMKMOGB_00727,IAAMHMBP_01411,PKFCGPHH_00053
rpmE2,rpmE2,Large ribosomal subunit protein bL31B,3,3,1.0,17,53,,,,258,258,258.0,BDMKMOGB_00705,IAAMHMBP_01388,PKFCGPHH_00075
xpt,xpt,Xanthine phosphoribosyltransferase,3,3,1.0,17,52,,,,579,579,579.0,BDMKMOGB_00721,IAAMHMBP_01404,PKFCGPHH_00059
group_366,,hypothetical protein,3,3,1.0,17,51,,,,579,579,579.0,BDMKMOGB_00682,IAAMHMBP_01365,PKFCGPHH_00141
rpsQ,rpsQ,Small ribosomal subunit protein uS17,3,3,1.0,17,50,,,,267,267,267.0,BDMKMOGB_00657,IAAMHMBP_01340,PKFCGPHH_00116
lysS,lysS,Lysine--tRNA ligase,3,3,1.0,17,49,,,,1524,1524,1524.0,BDMKMOGB_00691,IAAMHMBP_01374,PKFCGPHH_00089
group_365,,hypothetical protein,3,3,1.0,17,48,,,,1527,1527,1527.0,BDMKMOGB_00668,IAAMHMBP_01351,PKFCGPHH_00127
bcrA_1,bcrA_1,Bacitracin transport ATP-binding protein BcrA,3,3,1.0,17,47,,,,597,597,597.0,BDMKMOGB_00681,IAAMHMBP_01364,PKFCGPHH_00140
guaA_1,guaA_1,GMP synthase [glutamine-hydrolyzing],3,3,1.0,17,46,,,,1551,1551,1551.0,BDMKMOGB_00720,IAAMHMBP_01403,PKFCGPHH_00060
group_364,,hypothetical protein,3,3,1.0,17,45,,,,600,600,600.0,BDMKMOGB_00686,IAAMHMBP_01369,PKFCGPHH_00145
rpsS,rpsS,Small ribosomal subunit protein uS19,3,3,1.0,17,44,,,,276,276,276.0,BDMKMOGB_00662,IAAMHMBP_01345,PKFCGPHH_00121
bcrA_2,bcrA_2,Bacitracin transport ATP-binding protein BcrA,3,3,1.0,17,43,,,,600,600,600.0,BDMKMOGB_00685,IAAMHMBP_01368,PKFCGPHH_00144
pyrG,pyrG,CTP synthase,3,3,1.0,17,42,,,,1620,1620,1620.0,BDMKMOGB_01150,IAAMHMBP_01415,PKFCGPHH_00049
yciB,yciB,Putative LD-transpeptidase YciB,3,3,1.0,17,41,,,,609,609,609.0,BDMKMOGB_00718,IAAMHMBP_01401,PKFCGPHH_00062
rpoA,rpoA,DNA-directed RNA polymerase subunit alpha,3,3,1.0,17,40,,,,942,942,942.0,BDMKMOGB_00640,IAAMHMBP_01323,PKFCGPHH_00099
rplW,rplW,Large ribosomal subunit protein uL23,3,3,1.0,17,39,,,,297,297,297.0,BDMKMOGB_00664,IAAMHMBP_01347,PKFCGPHH_00123
rihA_2,rihA_2,Pyrimidine-specific ribonucleoside hydrolase RihA,3,3,1.0,17,38,,,,951,951,951.0,BDMKMOGB_00713,IAAMHMBP_01396,PKFCGPHH_00067
rplD,rplD,Large ribosomal subunit protein uL4,3,3,1.0,17,37,,,,618,618,618.0,BDMKMOGB_00665,IAAMHMBP_01348,PKFCGPHH_00124
group_363,,hypothetical protein,3,3,1.0,17,36,,,,621,621,621.0,BDMKMOGB_00724,IAAMHMBP_01408,PKFCGPHH_00056
group_362,,hypothetical protein,3,3,1.0,17,35,,,,309,309,309.0,BDMKMOGB_00728,IAAMHMBP_01412,PKFCGPHH_00052
rplC,rplC,Large ribosomal subunit protein uL3,3,3,1.0,17,34,,,,630,630,630.0,BDMKMOGB_00666,IAAMHMBP_01349,PKFCGPHH_00125
rplX,rplX,Large ribosomal subunit protein uL24,3,3,1.0,17,33,,,,315,315,315.0,BDMKMOGB_00655,IAAMHMBP_01338,PKFCGPHH_00114
group_361,,hypothetical protein,3,4,1.3333333333333333,17,32,,,,345,864,635.25,BDMKMOGB_00689,IAAMHMBP_01372,PKFCGPHH_00148;PKFCGPHH_00091
adk,adk,Adenylate kinase,3,3,1.0,17,31,,,,654,654,654.0,BDMKMOGB_00645,IAAMHMBP_01328,PKFCGPHH_00104
rpoE,rpoE,DNA-directed RNA polymerase subunit delta,3,3,1.0,17,30,,,,549,561,553.0,BDMKMOGB_01151,IAAMHMBP_01416,PKFCGPHH_00048
group_360,,hypothetical protein,3,3,1.0,17,29,,,,348,348,348.0,BDMKMOGB_00680,IAAMHMBP_01363,PKFCGPHH_00139
group_359,,hypothetical protein,3,3,1.0,17,28,,,,351,351,351.0,BDMKMOGB_00696,IAAMHMBP_01379,PKFCGPHH_00084
rpsM,rpsM,Small ribosomal subunit protein uS13,3,3,1.0,17,27,,,,351,351,351.0,BDMKMOGB_00642,IAAMHMBP_01325,PKFCGPHH_00101
dusB,dusB,tRNA-dihydrouridine synthase B,3,3,1.0,17,26,,,,1029,1029,1029.0,BDMKMOGB_00692,IAAMHMBP_01375,PKFCGPHH_00088
rplV,rplV,Large ribosomal subunit protein uL22,3,3,1.0,17,25,,,,354,354,354.0,BDMKMOGB_00661,IAAMHMBP_01344,PKFCGPHH_00120
rpsC,rpsC,Small ribosomal subunit protein uS3,3,3,1.0,17,24,,,,675,675,675.0,BDMKMOGB_00660,IAAMHMBP_01343,PKFCGPHH_00119
fusA,fusA,elongation factor G FusA,3,3,1.0,17,23,,,,2091,2091,2091.0,BDMKMOGB_00669,IAAMHMBP_01352,PKFCGPHH_00128
ftsH,ftsH,ATP-dependent zinc metalloprotease FtsH,3,3,1.0,17,22,,,,2127,2127,2127.0,BDMKMOGB_00694,IAAMHMBP_01377,PKFCGPHH_00086
rplR,rplR,Large ribosomal subunit protein uL18,3,3,1.0,17,21,,,,360,360,360.0,BDMKMOGB_00650,IAAMHMBP_01333,PKFCGPHH_00109
group_358,,hypothetical protein,3,3,1.0,17,20,,,,684,684,684.0,BDMKMOGB_00672,IAAMHMBP_01355,PKFCGPHH_00131
group_357,,hypothetical protein,3,3,1.0,17,19,,,,687,687,687.0,BDMKMOGB_00701,IAAMHMBP_01384,PKFCGPHH_00079
group_356,,hypothetical protein,3,3,1.0,17,18,,,,942,1317,1192.0,BDMKMOGB_00729,IAAMHMBP_01413,PKFCGPHH_00051
rplN,rplN,Large ribosomal subunit protein uL14,3,3,1.0,17,17,,,,369,369,369.0,BDMKMOGB_00656,IAAMHMBP_01339,PKFCGPHH_00115
group_355,,hypothetical protein,3,3,1.0,17,16,,,,372,372,372.0,BDMKMOGB_00697,IAAMHMBP_01380,PKFCGPHH_00083
cbiO,cbiO,Cobalt import ATP-binding protein CbiO,3,3,1.0,17,15,,,,702,702,702.0,BDMKMOGB_00726,IAAMHMBP_01410,PKFCGPHH_00054
pucK,;pucK,hypothetical protein;Uric acid permease PucK,3,4,1.3333333333333333,17,14,,,,126,1284,963.75,BDMKMOGB_00722,IAAMHMBP_01406;IAAMHMBP_01405,PKFCGPHH_00058
group_354,,hypothetical protein,3,3,1.0,17,13,,,,702,702,702.0,BDMKMOGB_00690,IAAMHMBP_01373,PKFCGPHH_00090
rplQ,rplQ,Large ribosomal subunit protein bL17,3,3,1.0,17,12,,,,384,384,384.0,BDMKMOGB_00639,IAAMHMBP_01322,PKFCGPHH_00098
clpC,clpC,ATP-dependent Clp protease ATP-binding subunit ClpC,3,3,1.0,17,11,,,,2484,2484,2484.0,BDMKMOGB_00675,IAAMHMBP_01358,PKFCGPHH_00134
group_353,,hypothetical protein,3,3,1.0,17,10,,,,1110,1110,1110.0,BDMKMOGB_00710,IAAMHMBP_01393,PKFCGPHH_00070
rpsK,rpsK,Small ribosomal subunit protein uS11,3,3,1.0,17,9,,,,390,390,390.0,BDMKMOGB_00641,IAAMHMBP_01324,PKFCGPHH_00100
rpsI,rpsI,Small ribosomal subunit protein uS9,3,3,1.0,17,8,,,,396,396,396.0,BDMKMOGB_00633,IAAMHMBP_01316,PKFCGPHH_00092
alr,alr,Alanine racemase,3,3,1.0,17,7,,,,1128,1128,1128.0,BDMKMOGB_00702,IAAMHMBP_01385,PKFCGPHH_00078
rpsH,rpsH,Small ribosomal subunit protein uS8,3,3,1.0,17,6,,,,399,399,399.0,BDMKMOGB_00652,IAAMHMBP_01335,PKFCGPHH_00111
mfd,mfd,Transcription-repair-coupling factor,3,3,1.0,17,5,,,,3486,3486,3486.0,BDMKMOGB_00699,IAAMHMBP_01382,PKFCGPHH_00081
rpoB,rpoB,DNA-directed RNA polymerase subunit beta RpoB,3,3,1.0,17,4,,,,3630,3630,3630.0,BDMKMOGB_00674,IAAMHMBP_01357,PKFCGPHH_00133
rpoC,rpoC,DNA-directed RNA polymerase subunit beta RpoC,3,3,1.0,17,3,,,,3669,3669,3669.0,BDMKMOGB_00673,IAAMHMBP_01356,PKFCGPHH_00132
group_352,,hypothetical protein,3,3,1.0,17,2,,,,408,408,408.0,BDMKMOGB_01152,IAAMHMBP_01417,PKFCGPHH_00047
rpsL,rpsL,Small ribosomal subunit protein uS12,3,3,1.0,17,1,,,,408,408,408.0,BDMKMOGB_00671,IAAMHMBP_01354,PKFCGPHH_00130
smoH,smoH,Sulfoquinovosyl glycerol transport system permease protein SmoH,3,3,1.0,16,27,,,,825,825,825.0,BDMKMOGB_01130,IAAMHMBP_00310,PKFCGPHH_00846
group_351,,hypothetical protein,3,3,1.0,16,26,,,,753,771,765.0,BDMKMOGB_00577,IAAMHMBP_00302,PKFCGPHH_00854
group_350,,hypothetical protein,3,3,1.0,16,25,,,,1308,1308,1308.0,BDMKMOGB_01132,IAAMHMBP_00312,PKFCGPHH_00844
fpaP,fpaP,Proline iminopeptidase,3,3,1.0,16,24,,,,912,912,912.0,BDMKMOGB_00579,IAAMHMBP_00300,PKFCGPHH_00869
bceA,bceA,Bacitracin export ATP-binding protein BceA,3,3,1.0,16,23,,,,750,750,750.0,BDMKMOGB_00590,IAAMHMBP_01056,PKFCGPHH_00858
group_349,,hypothetical protein,3,3,1.0,16,22,,,,675,891,747.0,BDMKMOGB_01411,IAAMHMBP_01054,PKFCGPHH_00856
coaA,coaA,Pantothenate kinase,3,3,1.0,16,21,,,,915,915,915.0,BDMKMOGB_00581,IAAMHMBP_00298,PKFCGPHH_00867
mprA,mprA,Response regulator MprA,3,3,1.0,16,20,,,,672,672,672.0,BDMKMOGB_00583,IAAMHMBP_00296,PKFCGPHH_00865
group_348,,hypothetical protein,3,3,1.0,16,19,,,,675,675,675.0,BDMKMOGB_00586,IAAMHMBP_00293,PKFCGPHH_00862
uup_1,uup_1,ATP-binding protein Uup,3,3,1.0,16,18,,,,1581,1581,1581.0,BDMKMOGB_00578,IAAMHMBP_00301,PKFCGPHH_00855
group_347,,Protein ADP-ribosyltransferase,3,3,1.0,16,17,,,,774,774,774.0,BDMKMOGB_00574,IAAMHMBP_00305,PKFCGPHH_00851
helD,helD,DNA helicase IV,3,3,1.0,16,16,,,,2295,2295,2295.0,BDMKMOGB_00585,IAAMHMBP_00294,PKFCGPHH_00863
uup_3,uup_3,ATP-binding protein Uup,3,3,1.0,16,15,,,,1086,1086,1086.0,BDMKMOGB_01128,IAAMHMBP_00308,PKFCGPHH_00848
ywaC,ywaC,GTP pyrophosphokinase YwaC,3,3,1.0,16,14,,,,615,615,615.0,BDMKMOGB_00584,IAAMHMBP_00295,PKFCGPHH_00864
polC_3,polC_3,DNA polymerase III PolC-type,3,3,1.0,16,13,,,,951,951,951.0,BDMKMOGB_00573,IAAMHMBP_00306,PKFCGPHH_00850
lacF_3,lacF_3,Lactose transport system permease protein LacF,3,3,1.0,16,12,,,,867,867,867.0,BDMKMOGB_01129,IAAMHMBP_00309,PKFCGPHH_00847
ndkA,ndkA,Nucleoside diphosphate kinase,3,3,1.0,16,11,,,,447,447,447.0,BDMKMOGB_00588,IAAMHMBP_00291,PKFCGPHH_00860
group_346,,hypothetical protein,3,3,1.0,16,10,,,,873,873,873.0,BDMKMOGB_00572,IAAMHMBP_00307,PKFCGPHH_00849
gpmA_4~~~cobC,gpmA_4;cobC,23-bisphosphoglycerate-dependent phosphoglycerate mutase;Adenosylcobalamin/alpha-ribazole phosphatase,3,3,1.0,16,9,,,,426,651,576.0,BDMKMOGB_00587,IAAMHMBP_00292,PKFCGPHH_00861
